team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
OKLAHOMA CITY THUNDER,240,36,87,11,28,23,26,10,28,19,7,3,13,29,2012-06-21,away,loss,106.0,MIAMI HEAT,121.0,0.2926829268292683,0.28205128205128205,38
MIAMI HEAT,240,40,77,14,26,27,33,8,33,25,8,7,13,21,2012-06-21,home,win,121.0,OKLAHOMA CITY THUNDER,106.0,0.3418803418803419,0.35,41
