team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
CHICAGO BULLS,240,39,90,6,15,11,20,18,35,22,10,4,10,15,2012-02-10,away,win,95.0,CHARLOTTE BOBCATS,64.0,0.3023255813953488,0.2857142857142857,53
CHARLOTTE BOBCATS,240,25,76,1,8,13,19,10,34,17,5,5,16,18,2012-02-10,home,loss,64.0,CHICAGO BULLS,95.0,0.24752475247524752,0.1111111111111111,44
MILWAUKEE BUCKS,265,40,98,8,24,25,31,16,35,26,7,8,14,25,2012-02-10,away,win,113.0,CLEVELAND CAVALIERS,112.0,0.2898550724637681,0.25,51
CLEVELAND CAVALIERS,265,43,88,8,17,18,32,11,37,33,6,5,17,26,2012-02-10,home,loss,112.0,MILWAUKEE BUCKS,113.0,0.3282442748091603,0.32,48
NEW JERSEY NETS,240,31,74,5,19,25,31,10,21,18,10,5,18,22,2012-02-10,away,loss,92.0,DETROIT PISTONS,109.0,0.29523809523809524,0.20833333333333334,31
DETROIT PISTONS,240,43,79,4,10,19,25,15,32,25,9,6,20,25,2012-02-10,home,win,109.0,NEW JERSEY NETS,92.0,0.3524590163934426,0.2857142857142857,47
INDIANA PACERS,240,30,78,6,16,26,37,16,32,14,3,3,14,29,2012-02-10,away,loss,92.0,MEMPHIS GRIZZLIES,98.0,0.2777777777777778,0.2727272727272727,48
MEMPHIS GRIZZLIES,240,34,73,1,9,29,37,5,32,19,9,7,9,26,2012-02-10,home,win,98.0,INDIANA PACERS,92.0,0.3177570093457944,0.1,37
DALLAS MAVERICKS,240,39,90,9,21,17,23,8,30,25,16,8,18,28,2012-02-10,away,win,104.0,MINNESOTA TIMBERWOLVES,97.0,0.3023255813953488,0.3,38
MINNESOTA TIMBERWOLVES,240,32,79,6,23,27,31,13,34,20,7,1,27,21,2012-02-10,home,loss,97.0,DALLAS MAVERICKS,104.0,0.2882882882882883,0.20689655172413793,47
PORTLAND TRAIL BLAZERS,240,35,68,4,17,20,25,8,25,24,10,9,16,21,2012-02-10,away,win,94.0,NEW ORLEANS HORNETS,86.0,0.33980582524271846,0.19047619047619047,33
NEW ORLEANS HORNETS,240,33,75,3,16,17,25,14,23,20,10,1,17,27,2012-02-10,home,loss,86.0,PORTLAND TRAIL BLAZERS,94.0,0.3055555555555556,0.15789473684210525,37
LOS ANGELES LAKERS,240,30,80,6,24,19,23,12,36,13,6,5,17,29,2012-02-10,away,loss,85.0,NEW YORK KNICKS,92.0,0.2727272727272727,0.2,48
NEW YORK KNICKS,240,33,77,5,21,21,34,8,33,16,9,1,14,17,2012-02-10,home,win,92.0,LOS ANGELES LAKERS,85.0,0.3,0.19230769230769232,41
ATLANTA HAWKS,265,36,82,6,17,11,18,6,37,23,6,4,10,17,2012-02-10,away,win,89.0,ORLANDO MAGIC,87.0,0.3050847457627119,0.2608695652173913,43
ORLANDO MAGIC,265,35,83,9,24,8,14,10,42,14,5,3,16,21,2012-02-10,home,loss,87.0,ATLANTA HAWKS,89.0,0.2966101694915254,0.2727272727272727,52
LOS ANGELES CLIPPERS,240,33,85,2,19,10,15,15,31,14,6,1,7,23,2012-02-10,away,win,78.0,PHILADELPHIA 76ERS,77.0,0.2796610169491525,0.09523809523809523,46
PHILADELPHIA 76ERS,240,29,71,4,15,15,23,9,31,19,4,2,10,15,2012-02-10,home,loss,77.0,LOS ANGELES CLIPPERS,78.0,0.29,0.21052631578947367,40
BOSTON CELTICS,240,29,65,3,10,13,18,7,27,18,5,3,16,13,2012-02-10,away,loss,74.0,TORONTO RAPTORS,86.0,0.30851063829787234,0.23076923076923078,34
TORONTO RAPTORS,240,33,75,5,19,15,20,13,29,26,9,4,11,18,2012-02-10,home,win,86.0,BOSTON CELTICS,74.0,0.3055555555555556,0.20833333333333334,42
OKLAHOMA CITY THUNDER,240,35,74,4,20,27,32,10,36,12,10,4,15,20,2012-02-10,away,win,101.0,UTAH JAZZ,87.0,0.3211009174311927,0.16666666666666666,46
UTAH JAZZ,240,38,80,3,9,8,13,6,26,27,8,3,15,21,2012-02-10,home,loss,87.0,OKLAHOMA CITY THUNDER,101.0,0.3220338983050847,0.25,32
MIAMI HEAT,240,40,81,5,15,21,23,8,38,22,9,7,15,21,2012-02-10,away,win,106.0,WASHINGTON WIZARDS,89.0,0.3305785123966942,0.25,46
WASHINGTON WIZARDS,240,34,89,4,21,17,28,15,28,21,6,1,16,20,2012-02-10,home,loss,89.0,MIAMI HEAT,106.0,0.2764227642276423,0.16,43
