team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
PHILADELPHIA 76ERS,240,28,80,5,18,14,20,13,32,15,9,1,15,23,away,loss,75.0,BOSTON CELTICS,85.0
BOSTON CELTICS,240,31,73,3,17,20,22,4,40,17,10,6,14,22,home,win,85.0,PHILADELPHIA 76ERS,75.0
