team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
NEW JERSEY NETS,240,38,82,9,20,13,14,15,25,20,7,2,13,26,2011-12-30,away,loss,98.0,ATLANTA HAWKS,105.0,0.31666666666666665,0.3103448275862069,40
ATLANTA HAWKS,240,37,77,4,15,27,38,15,23,22,7,6,12,15,2011-12-30,home,win,105.0,NEW JERSEY NETS,98.0,0.32456140350877194,0.21052631578947367,38
DETROIT PISTONS,240,34,79,3,16,14,15,12,23,18,3,0,9,14,2011-12-30,away,loss,85.0,BOSTON CELTICS,96.0,0.3008849557522124,0.15789473684210525,35
BOSTON CELTICS,240,35,67,7,16,19,19,5,25,25,4,6,10,18,2011-12-30,home,win,96.0,DETROIT PISTONS,85.0,0.3431372549019608,0.30434782608695654,30
ORLANDO MAGIC,240,37,84,12,28,14,24,14,35,23,3,7,11,16,2011-12-30,away,win,100.0,CHARLOTTE BOBCATS,79.0,0.30578512396694213,0.3,49
CHARLOTTE BOBCATS,240,30,83,5,15,14,18,12,29,19,6,3,12,23,2011-12-30,home,loss,79.0,ORLANDO MAGIC,100.0,0.26548672566371684,0.25,41
TORONTO RAPTORS,240,33,72,6,14,14,18,5,33,20,8,1,17,23,2011-12-30,away,loss,86.0,DALLAS MAVERICKS,99.0,0.3142857142857143,0.3,38
DALLAS MAVERICKS,240,32,72,7,25,28,38,7,33,21,11,4,10,13,2011-12-30,home,win,99.0,TORONTO RAPTORS,86.0,0.3076923076923077,0.21875,40
CLEVELAND CAVALIERS,265,34,88,5,25,18,31,9,40,13,7,9,18,28,2011-12-30,away,loss,91.0,INDIANA PACERS,98.0,0.2786885245901639,0.16666666666666666,49
INDIANA PACERS,265,36,94,2,10,24,32,17,43,15,9,10,16,27,2011-12-30,home,win,98.0,CLEVELAND CAVALIERS,91.0,0.27692307692307694,0.16666666666666666,60
CHICAGO BULLS,240,39,78,7,17,29,34,15,30,29,4,2,12,19,2011-12-30,away,win,114.0,LOS ANGELES CLIPPERS,101.0,0.3333333333333333,0.2916666666666667,45
LOS ANGELES CLIPPERS,240,41,80,7,15,12,20,9,22,26,6,3,11,22,2011-12-30,home,loss,101.0,CHICAGO BULLS,114.0,0.33884297520661155,0.3181818181818182,31
HOUSTON ROCKETS,240,34,79,11,29,14,18,6,27,19,9,4,19,29,2011-12-30,away,loss,93.0,MEMPHIS GRIZZLIES,113.0,0.3008849557522124,0.275,33
MEMPHIS GRIZZLIES,240,45,80,0,5,23,33,7,35,23,10,7,16,19,2011-12-30,home,win,113.0,HOUSTON ROCKETS,93.0,0.36,0.0,42
WASHINGTON WIZARDS,240,30,85,7,18,14,19,9,26,19,9,5,14,22,2011-12-30,away,loss,81.0,MILWAUKEE BUCKS,102.0,0.2608695652173913,0.28,35
MILWAUKEE BUCKS,240,39,73,8,20,16,25,10,40,26,5,7,20,19,2011-12-30,home,win,102.0,WASHINGTON WIZARDS,81.0,0.3482142857142857,0.2857142857142857,50
MIAMI HEAT,240,46,93,3,14,8,14,9,33,29,14,6,15,21,2011-12-30,away,win,103.0,MINNESOTA TIMBERWOLVES,101.0,0.33093525179856115,0.17647058823529413,42
MINNESOTA TIMBERWOLVES,240,39,83,11,29,12,20,12,37,21,11,4,25,22,2011-12-30,home,loss,101.0,MIAMI HEAT,103.0,0.319672131147541,0.275,49
PHOENIX SUNS,240,33,78,7,23,20,22,10,37,22,3,10,10,22,2011-12-30,away,win,93.0,NEW ORLEANS HORNETS,78.0,0.2972972972972973,0.23333333333333334,47
NEW ORLEANS HORNETS,240,26,90,3,14,23,28,24,33,14,4,5,13,24,2011-12-30,home,loss,78.0,PHOENIX SUNS,93.0,0.22413793103448276,0.17647058823529413,57
PHILADELPHIA 76ERS,240,37,77,4,13,21,29,7,33,19,7,3,12,22,2011-12-30,away,loss,99.0,UTAH JAZZ,102.0,0.32456140350877194,0.23529411764705882,40
UTAH JAZZ,240,35,79,6,16,26,33,9,32,17,8,9,11,23,2011-12-30,home,win,102.0,PHILADELPHIA 76ERS,99.0,0.30701754385964913,0.2727272727272727,41
