slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
arenagi01,Gilbert Arenas,GOLDEN STATE WARRIORS,HOME,UTAH JAZZ,WIN,2059,11,19,1,3,4,4,2,3,9,3,0,2,3,26.5
radmavl01,Vladimir Radmanović,SEATTLE SUPERSONICS,AWAY,MEMPHIS GRIZZLIES,WIN,2420,9,15,6,11,5,7,2,6,3,2,1,2,4,25.7
vanhoke01,Keith Van Horn,PHILADELPHIA 76ERS,AWAY,MIAMI HEAT,WIN,2243,8,15,2,3,8,8,2,4,1,3,1,2,2,22.9
abdursh01,Shareef Abdur-Rahim,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,WIN,2531,7,15,0,0,11,14,3,9,2,3,1,4,2,21.2
cassesa01,Sam Cassell,MILWAUKEE BUCKS,HOME,DENVER NUGGETS,WIN,2129,11,16,1,3,3,3,1,7,4,1,0,5,0,20.8
butleca01,Caron Butler,MIAMI HEAT,HOME,PHILADELPHIA 76ERS,LOSS,2428,9,18,0,4,4,6,1,5,3,5,1,2,0,20.2
parketo01,Tony Parker,SAN ANTONIO SPURS,HOME,DETROIT PISTONS,WIN,1819,8,11,0,0,0,0,0,2,9,2,0,0,1,20.0
allenra02,Ray Allen,MILWAUKEE BUCKS,HOME,DENVER NUGGETS,WIN,2326,6,15,1,5,8,10,1,5,4,3,1,1,0,19.8
iversal01,Allen Iverson,PHILADELPHIA 76ERS,AWAY,MIAMI HEAT,WIN,2700,9,17,0,1,7,8,1,6,5,0,0,2,3,19.1
gasolpa01,Pau Gasol,MEMPHIS GRIZZLIES,HOME,SEATTLE SUPERSONICS,LOSS,2338,11,16,0,0,3,5,2,8,2,0,0,3,3,18.4
jonesed02,Eddie Jones,MIAMI HEAT,HOME,PHILADELPHIA 76ERS,LOSS,2551,9,20,5,9,3,3,0,3,6,1,1,3,3,18.2
jamisan01,Antawn Jamison,GOLDEN STATE WARRIORS,HOME,UTAH JAZZ,WIN,2528,11,21,1,3,3,3,1,2,4,1,1,3,2,17.7
gillke01,Kendall Gill,MINNESOTA TIMBERWOLVES,AWAY,WASHINGTON WIZARDS,WIN,1818,8,12,1,1,2,2,1,1,3,2,0,1,1,17.5
robingl01,Glenn Robinson,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,WIN,2805,11,25,1,3,4,4,2,7,4,1,0,2,5,17.2
jacksst02,Stephen Jackson,SAN ANTONIO SPURS,HOME,DETROIT PISTONS,WIN,1798,8,13,2,4,2,2,2,2,1,2,0,1,2,17.0
lewisra02,Rashard Lewis,SEATTLE SUPERSONICS,AWAY,MEMPHIS GRIZZLIES,WIN,2439,9,17,0,2,4,6,4,6,1,2,0,2,3,17.0
malonka01,Karl Malone,UTAH JAZZ,AWAY,GOLDEN STATE WARRIORS,LOSS,2261,9,18,0,0,2,2,0,7,6,1,3,3,2,16.6
duncati01,Tim Duncan,SAN ANTONIO SPURS,HOME,DETROIT PISTONS,WIN,1860,10,18,0,1,2,4,3,8,1,0,1,2,0,16.5
paytoga01,Gary Payton,SEATTLE SUPERSONICS,AWAY,MEMPHIS GRIZZLIES,WIN,2466,7,15,1,2,3,4,2,3,6,1,1,2,1,15.7
harprma01,Matt Harpring,UTAH JAZZ,AWAY,GOLDEN STATE WARRIORS,LOSS,2088,6,14,0,2,8,10,2,4,2,0,0,0,1,15.4
hilarne01,Nenê Hilário,DENVER NUGGETS,AWAY,MILWAUKEE BUCKS,LOSS,2277,7,10,0,0,0,0,4,4,3,4,0,4,2,15.1
murphtr01,Troy Murphy,GOLDEN STATE WARRIORS,HOME,UTAH JAZZ,WIN,1890,7,9,0,0,0,0,2,9,1,0,3,2,2,14.6
wagneda02,Dajuan Wagner,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,LOSS,1560,5,9,1,2,3,4,1,2,4,2,0,1,1,14.0
hughela01,Larry Hughes,WASHINGTON WIZARDS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2375,8,17,2,3,0,0,1,5,4,1,0,1,1,13.9
willico02,Corliss Williamson,DETROIT PISTONS,AWAY,SAN ANTONIO SPURS,LOSS,1480,7,11,0,0,1,1,3,1,1,1,0,0,1,13.8
parkesm01,Smush Parker,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,LOSS,1930,6,13,3,5,2,4,1,1,3,1,0,0,1,13.2
wrighlo02,Lorenzen Wright,MEMPHIS GRIZZLIES,HOME,SEATTLE SUPERSONICS,LOSS,1869,6,10,0,0,2,3,6,6,0,0,0,1,3,12.8
ratlith01,Theo Ratliff,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,WIN,1803,3,4,0,0,3,3,1,3,1,4,3,2,3,12.6
colemde01,Derrick Coleman,PHILADELPHIA 76ERS,AWAY,MIAMI HEAT,WIN,1683,5,7,0,0,4,5,3,3,0,0,2,1,4,12.5
terryja01,Jason Terry,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,WIN,2575,4,14,2,8,3,4,2,3,12,1,1,4,1,12.4
rosema01,Malik Rose,SAN ANTONIO SPURS,HOME,DETROIT PISTONS,WIN,1667,5,7,0,0,8,10,0,5,2,1,0,5,3,12.0
harvedo01,Donnell Harvey,DENVER NUGGETS,AWAY,MILWAUKEE BUCKS,LOSS,1878,7,13,0,0,1,1,2,5,3,0,0,1,2,11.9
