slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
vanexni01,Nick Van Exel,DALLAS MAVERICKS,AWAY,SACRAMENTO KINGS,WIN,2914,14,26,6,12,6,7,1,6,7,1,0,1,4,32.8
nashst01,Steve Nash,DALLAS MAVERICKS,AWAY,SACRAMENTO KINGS,WIN,3078,12,20,5,10,2,2,3,2,11,1,0,1,5,30.2
stojape01,Peja Stojaković,SACRAMENTO KINGS,HOME,DALLAS MAVERICKS,LOSS,3380,14,30,5,10,6,10,3,5,4,1,0,0,5,27.4
nowitdi01,Dirk Nowitzki,DALLAS MAVERICKS,AWAY,SACRAMENTO KINGS,WIN,3480,9,21,1,3,6,6,2,18,2,1,1,2,5,19.8
iversal01,Allen Iverson,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,2662,9,23,0,1,7,8,2,3,11,1,0,5,5,16.1
divacvl01,Vlade Divac,SACRAMENTO KINGS,HOME,DALLAS MAVERICKS,LOSS,2013,7,11,0,0,6,12,4,6,4,0,0,3,3,15.9
jacksbo01,Bobby Jackson,SACRAMENTO KINGS,HOME,DALLAS MAVERICKS,LOSS,2523,7,15,0,4,2,2,2,9,5,0,0,0,0,15.9
hamilri01,Richard Hamilton,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,LOSS,2288,7,19,2,4,8,8,1,2,4,2,0,3,4,15.0
princta01,Tayshaun Prince,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,LOSS,1823,5,13,3,5,4,4,3,0,3,2,0,2,0,14.1
chrisdo01,Doug Christie,SACRAMENTO KINGS,HOME,DALLAS MAVERICKS,LOSS,3064,6,14,2,4,4,4,1,4,7,2,0,5,2,13.6
finlemi01,Michael Finley,DALLAS MAVERICKS,AWAY,SACRAMENTO KINGS,WIN,3349,7,18,5,10,1,2,1,3,3,1,0,1,3,12.3
colemde01,Derrick Coleman,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,2208,6,14,0,1,3,3,4,4,2,1,0,1,3,11.8
thomake01,Kenny Thomas,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,1793,4,6,0,0,2,4,5,9,0,1,0,1,3,11.6
clarkke01,Keon Clark,SACRAMENTO KINGS,HOME,DALLAS MAVERICKS,LOSS,1410,5,7,0,0,2,3,4,3,1,0,1,2,1,11.4
vanhoke01,Keith Van Horn,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,2165,6,10,3,4,2,2,0,6,1,1,0,3,4,11.3
bibbymi01,Mike Bibby,SACRAMENTO KINGS,HOME,DALLAS MAVERICKS,LOSS,2314,7,13,1,4,1,1,0,4,3,1,0,2,6,9.6
wallabe01,Ben Wallace,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,LOSS,2169,2,4,0,0,2,4,4,2,0,2,3,0,3,9.5
atkinch01,Chucky Atkins,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,LOSS,2101,4,11,3,6,2,2,0,1,1,3,0,1,2,9.1
hillty01,Tyrone Hill,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,1310,3,4,0,0,3,3,4,2,0,0,0,2,2,8.0
williwa02,Walt Williams,DALLAS MAVERICKS,AWAY,SACRAMENTO KINGS,WIN,973,4,8,2,5,0,0,0,0,2,1,0,0,1,8.0
griffad01,Adrian Griffin,DALLAS MAVERICKS,AWAY,SACRAMENTO KINGS,WIN,713,3,4,0,0,0,0,2,2,2,1,0,1,1,7.4
okurme01,Mehmet Okur,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,LOSS,1481,2,4,0,0,1,2,3,7,2,1,1,3,4,5.3
snower01,Eric Snow,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,1921,3,7,0,1,5,5,0,1,2,1,0,4,2,5.2
jacksji01,Jim Jackson,SACRAMENTO KINGS,HOME,DALLAS MAVERICKS,LOSS,1321,5,10,1,2,0,0,1,5,0,0,0,1,6,4.8
barryjo01,Jon Barry,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,LOSS,866,2,6,2,3,0,0,1,2,2,0,0,0,2,4.5
rebraze01,Željko Rebrača,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,LOSS,519,2,4,0,0,3,4,0,0,0,0,0,0,2,3.8
turkohe01,Hedo Türkoğlu,SACRAMENTO KINGS,HOME,DALLAS MAVERICKS,LOSS,1373,1,8,0,2,3,4,1,8,1,1,0,1,2,2.4
