team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
TORONTO RAPTORS,240,42,82,10,16,21,34,8,21,25,5,3,9,24
ATLANTA HAWKS,240,52,88,11,21,31,39,15,36,37,5,6,9,26
DETROIT PISTONS,240,30,78,4,16,21,31,17,23,17,9,1,15,28
CHICAGO BULLS,240,33,69,4,9,22,30,12,29,24,6,6,17,27
PHOENIX SUNS,240,32,80,10,23,16,21,11,30,21,7,4,16,15
CLEVELAND CAVALIERS,240,45,93,6,22,11,16,15,36,29,12,10,10,18
HOUSTON ROCKETS,240,38,75,12,23,14,17,11,27,20,4,0,18,18
LOS ANGELES CLIPPERS,240,34,75,1,14,16,19,10,26,18,12,2,15,16
MEMPHIS GRIZZLIES,240,34,75,6,17,23,32,7,27,18,13,4,9,18
MINNESOTA TIMBERWOLVES,240,37,74,4,10,17,25,7,32,21,6,3,14,28
DALLAS MAVERICKS,240,44,75,8,18,21,25,10,32,29,12,6,18,24
NEW JERSEY NETS,240,34,77,6,18,27,32,7,21,18,13,2,13,16
PHILADELPHIA 76ERS,240,37,74,14,23,18,19,7,22,16,13,5,15,22
OKLAHOMA CITY THUNDER,240,43,85,12,24,19,23,18,25,25,10,4,14,16
NEW YORK KNICKS,240,39,84,10,24,16,21,13,23,15,11,1,18,23
ORLANDO MAGIC,240,43,78,10,30,22,30,12,34,26,10,3,18,22
INDIANA PACERS,240,40,92,7,22,18,25,22,27,12,8,2,18,26
SACRAMENTO KINGS,240,41,81,9,18,19,25,10,29,28,5,3,19,23
MILWAUKEE BUCKS,240,42,95,9,27,9,12,6,30,23,5,4,9,27
WASHINGTON WIZARDS,240,38,70,3,10,25,34,3,39,21,6,4,17,18
