team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
TORONTO RAPTORS,240,37,82,7,18,19,25,10,27,23,8,5,14,31,away,loss,100.0,BROOKLYN NETS,107.0
BROOKLYN NETS,240,37,81,6,15,27,37,9,32,20,6,5,17,19,home,win,107.0,TORONTO RAPTORS,100.0
NEW ORLEANS HORNETS,240,32,75,5,18,20,23,9,35,13,7,9,16,21,away,win,89.0,CHICAGO BULLS,82.0
CHICAGO BULLS,240,29,88,3,17,21,25,15,26,21,11,6,12,20,home,loss,82.0,NEW ORLEANS HORNETS,89.0
CHARLOTTE BOBCATS,240,39,91,3,17,18,24,15,23,19,13,2,10,14,away,loss,99.0,DALLAS MAVERICKS,126.0
DALLAS MAVERICKS,240,49,80,16,25,12,15,8,35,31,6,7,22,23,home,win,126.0,CHARLOTTE BOBCATS,99.0
PORTLAND TRAIL BLAZERS,265,39,93,10,24,7,12,10,43,28,11,8,16,18,away,win,95.0,HOUSTON ROCKETS,85.0
HOUSTON ROCKETS,265,34,96,5,26,12,18,16,40,19,12,4,18,16,home,loss,85.0,PORTLAND TRAIL BLAZERS,95.0
SACRAMENTO KINGS,290,37,102,8,22,16,20,16,31,19,15,13,16,26,away,loss,98.0,INDIANA PACERS,106.0
INDIANA PACERS,290,39,99,4,22,24,27,21,46,16,10,14,21,19,home,win,106.0,SACRAMENTO KINGS,98.0
GOLDEN STATE WARRIORS,240,41,84,4,16,28,39,16,32,22,7,2,13,34,away,win,114.0,LOS ANGELES CLIPPERS,110.0
LOS ANGELES CLIPPERS,240,30,70,10,21,40,52,7,26,21,6,5,16,31,home,loss,110.0,GOLDEN STATE WARRIORS,114.0
DENVER NUGGETS,240,49,95,5,21,13,20,18,29,13,5,3,13,21,away,loss,116.0,MIAMI HEAT,119.0
MIAMI HEAT,240,43,83,10,25,23,27,7,25,26,9,8,8,16,home,win,119.0,DENVER NUGGETS,116.0
CLEVELAND CAVALIERS,240,39,83,6,16,18,29,9,33,19,9,0,15,21,away,loss,102.0,MILWAUKEE BUCKS,105.0
MILWAUKEE BUCKS,240,41,79,9,24,14,21,3,34,32,8,9,15,18,home,win,105.0,CLEVELAND CAVALIERS,102.0
UTAH JAZZ,240,38,77,5,13,19,22,9,23,17,11,7,16,22,away,loss,100.0,SAN ANTONIO SPURS,110.0
SAN ANTONIO SPURS,240,42,74,7,13,19,23,7,26,29,8,6,18,18,home,win,110.0,UTAH JAZZ,100.0
BOSTON CELTICS,240,36,84,8,21,9,13,6,29,24,8,4,9,12,away,win,89.0,WASHINGTON WIZARDS,86.0
WASHINGTON WIZARDS,240,34,78,6,20,12,17,7,39,20,7,4,15,14,home,loss,86.0,BOSTON CELTICS,89.0
