team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
DALLAS MAVERICKS,240,51,89,13,22,12,14,10,29,33,7,3,12,20,away,win,127.0,ATLANTA HAWKS,113.0
ATLANTA HAWKS,240,42,75,8,21,21,29,5,26,26,7,2,15,15,home,loss,113.0,DALLAS MAVERICKS,127.0
MIAMI HEAT,240,42,85,7,20,14,21,10,29,25,11,7,14,18,away,win,105.0,BOSTON CELTICS,103.0
BOSTON CELTICS,240,39,72,10,21,15,24,4,29,24,9,7,20,26,home,loss,103.0,MIAMI HEAT,105.0
WASHINGTON WIZARDS,240,43,81,6,15,22,29,14,27,27,6,5,17,26,away,loss,114.0,CHARLOTTE BOBCATS,119.0
CHARLOTTE BOBCATS,240,42,79,9,22,26,33,8,23,32,9,5,11,20,home,win,119.0,WASHINGTON WIZARDS,114.0
DENVER NUGGETS,265,46,100,7,20,20,27,20,33,26,10,5,13,19,away,win,119.0,CHICAGO BULLS,118.0
CHICAGO BULLS,265,47,96,8,21,16,19,12,30,29,7,11,14,21,home,loss,118.0,DENVER NUGGETS,119.0
INDIANA PACERS,240,39,88,8,22,25,29,15,42,29,8,9,14,16,away,win,111.0,CLEVELAND CAVALIERS,90.0
CLEVELAND CAVALIERS,240,35,92,6,24,14,21,16,29,21,6,7,11,21,home,loss,90.0,INDIANA PACERS,111.0
BROOKLYN NETS,240,45,83,9,21,20,23,13,28,21,9,8,9,17,away,win,119.0,DETROIT PISTONS,82.0
DETROIT PISTONS,240,34,78,1,18,13,15,10,23,20,6,4,15,21,home,loss,82.0,BROOKLYN NETS,119.0
MINNESOTA TIMBERWOLVES,240,29,86,6,24,13,18,14,31,14,7,4,11,12,away,loss,77.0,MEMPHIS GRIZZLIES,92.0
MEMPHIS GRIZZLIES,240,40,82,5,16,7,11,11,38,19,6,10,13,21,home,win,92.0,MINNESOTA TIMBERWOLVES,77.0
GOLDEN STATE WARRIORS,240,35,70,10,19,13,15,6,38,21,6,7,16,20,away,win,93.0,NEW ORLEANS HORNETS,72.0
NEW ORLEANS HORNETS,240,28,83,3,17,13,13,13,28,17,10,5,13,13,home,loss,72.0,GOLDEN STATE WARRIORS,93.0
PORTLAND TRAIL BLAZERS,240,38,90,12,28,12,14,12,34,26,5,6,13,14,away,loss,100.0,PHILADELPHIA 76ERS,101.0
PHILADELPHIA 76ERS,240,43,86,5,16,10,13,8,35,31,7,8,13,15,home,win,101.0,PORTLAND TRAIL BLAZERS,100.0
LOS ANGELES LAKERS,240,29,87,5,22,13,16,14,31,15,10,1,18,13,away,loss,76.0,PHOENIX SUNS,99.0
PHOENIX SUNS,240,42,87,8,20,7,15,14,41,21,10,7,16,16,home,win,99.0,LOS ANGELES LAKERS,76.0
NEW YORK KNICKS,240,32,69,8,23,18,25,8,26,18,9,5,12,21,away,win,90.0,UTAH JAZZ,83.0
UTAH JAZZ,240,29,76,9,19,16,24,19,27,17,10,5,17,23,home,loss,83.0,NEW YORK KNICKS,90.0
