team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
DETROIT PISTONS,240,45,83,12,23,15,22,15,33,32,4,11,12,19,away,win,117.0,ATLANTA HAWKS,89.0
ATLANTA HAWKS,240,30,88,4,13,25,30,19,24,19,5,4,8,14,home,loss,89.0,DETROIT PISTONS,117.0
MINNESOTA TIMBERWOLVES,240,37,82,5,15,17,23,16,29,20,4,6,8,22,away,loss,96.0,BOSTON CELTICS,103.0
BOSTON CELTICS,240,40,82,7,16,16,27,15,28,17,2,5,4,22,home,win,103.0,MINNESOTA TIMBERWOLVES,96.0
NEW YORK KNICKS,265,40,88,4,9,20,23,16,28,17,8,6,23,34,away,loss,104.0,CHICAGO BULLS,106.0
CHICAGO BULLS,265,41,85,7,20,17,27,11,28,23,10,9,18,24,home,win,106.0,NEW YORK KNICKS,104.0
CLEVELAND CAVALIERS,240,32,77,5,16,20,35,14,33,23,5,4,13,23,away,loss,89.0,DENVER NUGGETS,90.0
DENVER NUGGETS,240,31,80,4,11,24,30,16,32,13,6,5,10,23,home,win,90.0,CLEVELAND CAVALIERS,89.0
DALLAS MAVERICKS,240,34,68,11,17,24,31,10,28,25,8,9,15,17,away,win,103.0,HOUSTON ROCKETS,76.0
HOUSTON ROCKETS,240,29,71,5,14,13,23,10,19,16,10,3,13,22,home,loss,76.0,DALLAS MAVERICKS,103.0
CHARLOTTE BOBCATS,240,39,81,5,12,9,13,9,20,26,11,4,13,22,away,loss,92.0,INDIANA PACERS,98.0
INDIANA PACERS,240,33,66,8,20,24,29,13,30,18,7,7,20,20,home,win,98.0,CHARLOTTE BOBCATS,92.0
PHOENIX SUNS,240,42,90,11,26,17,19,9,26,32,7,2,9,20,away,win,112.0,LOS ANGELES CLIPPERS,102.0
LOS ANGELES CLIPPERS,240,41,89,1,7,19,28,16,35,19,4,5,13,21,home,loss,102.0,PHOENIX SUNS,112.0
MEMPHIS GRIZZLIES,240,28,74,8,22,15,22,12,27,19,4,4,10,20,away,loss,79.0,NEW ORLEANS/OKLAHOMA CITY HORNETS,87.0
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,34,76,2,6,17,21,14,30,23,4,5,9,22,home,win,87.0,MEMPHIS GRIZZLIES,79.0
WASHINGTON WIZARDS,240,30,75,7,21,31,41,9,25,16,7,7,9,24,away,loss,98.0,ORLANDO MAGIC,106.0
ORLANDO MAGIC,240,36,71,6,12,28,37,9,32,23,6,5,14,31,home,win,106.0,WASHINGTON WIZARDS,98.0
NEW JERSEY NETS,240,37,82,6,22,21,29,15,32,29,9,1,6,20,away,win,101.0,PHILADELPHIA 76ERS,90.0
PHILADELPHIA 76ERS,240,35,71,5,11,15,23,6,36,18,2,3,12,20,home,loss,90.0,NEW JERSEY NETS,101.0
TORONTO RAPTORS,240,32,60,5,11,25,36,4,24,19,8,4,18,23,away,loss,94.0,PORTLAND TRAIL BLAZERS,96.0
PORTLAND TRAIL BLAZERS,240,38,75,2,12,18,23,11,23,29,11,2,14,28,home,win,96.0,TORONTO RAPTORS,94.0
MILWAUKEE BUCKS,240,38,76,2,9,14,18,9,30,17,7,4,13,26,away,loss,92.0,SAN ANTONIO SPURS,95.0
SAN ANTONIO SPURS,240,32,70,6,17,25,32,5,29,22,5,6,14,16,home,win,95.0,MILWAUKEE BUCKS,92.0
