team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
WASHINGTON WIZARDS,240,40,77,6,20,33,39,7,31,20,6,4,18,29,away,win,119.0,CHARLOTTE BOBCATS,114.0
CHARLOTTE BOBCATS,240,40,85,9,24,25,39,12,28,19,12,2,15,29,home,loss,114.0,WASHINGTON WIZARDS,119.0
PORTLAND TRAIL BLAZERS,240,27,77,3,13,9,15,11,26,14,6,8,16,16,away,loss,66.0,CHICAGO BULLS,95.0
CHICAGO BULLS,240,39,81,8,21,9,10,11,34,27,7,3,14,17,home,win,95.0,PORTLAND TRAIL BLAZERS,66.0
CLEVELAND CAVALIERS,240,34,80,3,9,16,18,13,34,17,5,4,12,20,away,loss,87.0,DALLAS MAVERICKS,91.0
DALLAS MAVERICKS,240,36,85,2,10,17,23,14,31,17,4,5,8,14,home,win,91.0,CLEVELAND CAVALIERS,87.0
BOSTON CELTICS,240,28,74,10,20,10,13,8,19,19,7,7,14,26,away,loss,76.0,MEMPHIS GRIZZLIES,93.0
MEMPHIS GRIZZLIES,240,29,59,8,14,27,34,8,33,21,9,8,16,20,home,win,93.0,BOSTON CELTICS,76.0
UTAH JAZZ,240,38,94,1,9,6,13,12,17,28,9,2,8,32,away,loss,83.0,MIAMI HEAT,121.0
MIAMI HEAT,240,36,63,7,18,42,48,8,42,20,8,9,17,19,home,win,121.0,UTAH JAZZ,83.0
TORONTO RAPTORS,240,38,73,10,25,25,26,7,30,29,13,5,15,25,away,win,111.0,PHILADELPHIA 76ERS,97.0
PHILADELPHIA 76ERS,240,33,68,3,13,28,38,8,26,20,6,2,20,22,home,loss,97.0,TORONTO RAPTORS,111.0
LOS ANGELES LAKERS,240,38,82,11,21,11,15,10,26,22,9,1,18,26,away,loss,98.0,SACRAMENTO KINGS,114.0
SACRAMENTO KINGS,240,39,72,10,19,26,28,6,29,25,7,8,17,17,home,win,114.0,LOS ANGELES LAKERS,98.0
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,33,73,1,6,14,20,6,25,16,9,2,14,24,away,loss,81.0,SAN ANTONIO SPURS,96.0
SAN ANTONIO SPURS,240,33,72,7,21,23,30,13,26,26,11,9,14,17,home,win,96.0,NEW ORLEANS/OKLAHOMA CITY HORNETS,81.0
PHOENIX SUNS,240,54,96,11,31,10,13,14,26,33,6,1,9,24,away,win,129.0,SEATTLE SUPERSONICS,120.0
SEATTLE SUPERSONICS,240,45,85,8,20,22,27,12,28,28,4,4,12,16,home,loss,120.0,PHOENIX SUNS,129.0
