team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
DENVER NUGGETS,240,37,72,5,12,22,29,7,30,27,11,4,21,22,away,win,101.0,CHARLOTTE BOBCATS,85.0
CHARLOTTE BOBCATS,240,33,79,3,16,16,23,16,27,24,13,3,26,23,home,loss,85.0,DENVER NUGGETS,101.0
MIAMI HEAT,240,39,87,6,13,16,27,13,27,27,8,5,7,28,away,win,100.0,CHICAGO BULLS,97.0
CHICAGO BULLS,240,33,77,7,22,24,36,12,34,26,4,4,13,22,home,loss,97.0,MIAMI HEAT,100.0
ATLANTA HAWKS,240,34,78,1,8,31,41,15,28,20,10,4,13,20,away,win,100.0,CLEVELAND CAVALIERS,94.0
CLEVELAND CAVALIERS,240,35,77,7,18,17,27,13,29,19,8,5,18,31,home,loss,94.0,ATLANTA HAWKS,100.0
SACRAMENTO KINGS,240,33,72,7,11,20,25,7,25,25,2,3,6,19,away,win,93.0,MINNESOTA TIMBERWOLVES,91.0
MINNESOTA TIMBERWOLVES,240,35,81,3,12,18,24,13,31,23,5,1,7,24,home,loss,91.0,SACRAMENTO KINGS,93.0
LOS ANGELES CLIPPERS,265,31,93,2,8,23,28,13,48,13,3,4,5,21,away,loss,87.0,SAN ANTONIO SPURS,95.0
SAN ANTONIO SPURS,265,42,94,5,15,6,19,11,47,17,2,8,4,19,home,win,95.0,LOS ANGELES CLIPPERS,87.0
GOLDEN STATE WARRIORS,265,38,80,8,26,26,31,8,32,22,7,3,14,28,away,win,110.0,SEATTLE SUPERSONICS,107.0
SEATTLE SUPERSONICS,265,37,99,10,21,23,29,18,32,20,9,3,11,24,home,loss,107.0,GOLDEN STATE WARRIORS,110.0
NEW JERSEY NETS,240,28,71,3,17,15,23,7,23,16,8,3,13,23,away,loss,74.0,WASHINGTON WIZARDS,94.0
WASHINGTON WIZARDS,240,33,67,8,15,20,30,8,35,20,8,0,14,23,home,win,94.0,NEW JERSEY NETS,74.0
