team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
CHICAGO BULLS,240,39,92,6,21,7,10,11,28,25,6,3,12,19,away,loss,91.0,CLEVELAND CAVALIERS,102.0
CLEVELAND CAVALIERS,240,38,78,4,19,22,29,10,37,20,8,9,13,13,home,win,102.0,CHICAGO BULLS,91.0
INDIANA PACERS,240,29,72,4,12,18,24,11,19,13,4,2,16,22,away,loss,80.0,DALLAS MAVERICKS,102.0
DALLAS MAVERICKS,240,37,78,2,5,26,32,19,30,17,9,6,11,20,home,win,102.0,INDIANA PACERS,80.0
DENVER NUGGETS,240,47,78,7,17,17,23,11,29,28,9,7,15,24,away,win,118.0,GOLDEN STATE WARRIORS,112.0
GOLDEN STATE WARRIORS,240,41,85,11,19,19,27,11,23,24,9,2,14,21,home,loss,112.0,DENVER NUGGETS,118.0
PHOENIX SUNS,240,40,77,6,18,17,17,6,39,26,5,6,14,21,away,win,103.0,MINNESOTA TIMBERWOLVES,89.0
MINNESOTA TIMBERWOLVES,240,38,90,3,11,10,14,11,31,19,6,3,13,20,home,loss,89.0,PHOENIX SUNS,103.0
NEW JERSEY NETS,240,38,70,6,16,27,36,4,24,27,12,3,13,25,away,win,109.0,NEW YORK KNICKS,101.0
NEW YORK KNICKS,240,34,74,7,17,26,33,13,27,19,8,1,20,28,home,loss,101.0,NEW JERSEY NETS,109.0
MILWAUKEE BUCKS,240,34,78,4,17,21,30,17,24,14,4,1,15,21,away,loss,93.0,ORLANDO MAGIC,108.0
ORLANDO MAGIC,240,43,80,3,6,19,27,11,29,21,8,2,10,21,home,win,108.0,MILWAUKEE BUCKS,93.0
PORTLAND TRAIL BLAZERS,240,43,80,4,13,15,21,8,31,19,10,2,10,17,away,win,105.0,SACRAMENTO KINGS,92.0
SACRAMENTO KINGS,240,36,83,5,19,15,21,15,26,17,5,5,14,16,home,loss,92.0,PORTLAND TRAIL BLAZERS,105.0
BOSTON CELTICS,240,41,78,4,12,25,35,7,24,27,4,4,12,36,away,loss,111.0,SEATTLE SUPERSONICS,118.0
SEATTLE SUPERSONICS,240,39,81,2,18,38,50,20,29,20,7,3,12,27,home,win,118.0,BOSTON CELTICS,111.0
MEMPHIS GRIZZLIES,265,29,67,6,17,38,42,5,24,14,8,5,17,30,away,loss,102.0,UTAH JAZZ,105.0
UTAH JAZZ,265,34,80,4,12,33,40,20,29,21,9,11,15,31,home,win,105.0,MEMPHIS GRIZZLIES,102.0
LOS ANGELES LAKERS,240,31,75,6,19,23,30,12,33,17,8,3,17,28,away,loss,91.0,WASHINGTON WIZARDS,94.0
WASHINGTON WIZARDS,240,31,81,5,21,27,33,17,31,13,5,3,12,30,home,win,94.0,LOS ANGELES LAKERS,91.0
