team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
DALLAS MAVERICKS,240,37,71,5,8,16,20,8,28,20,6,8,12,23,away,win,95.0,HOUSTON ROCKETS,81.0
HOUSTON ROCKETS,240,28,64,5,12,20,29,9,27,15,7,4,14,21,home,loss,81.0,DALLAS MAVERICKS,95.0
DENVER NUGGETS,240,40,78,1,3,20,27,9,33,18,5,7,14,24,away,win,101.0,INDIANA PACERS,99.0
INDIANA PACERS,240,37,86,4,17,21,33,15,30,20,10,5,9,20,home,loss,99.0,DENVER NUGGETS,101.0
MINNESOTA TIMBERWOLVES,240,35,77,1,4,18,18,8,24,25,8,4,9,17,away,loss,89.0,LOS ANGELES LAKERS,92.0
LOS ANGELES LAKERS,240,40,82,4,19,8,9,15,30,18,4,4,17,15,home,win,92.0,MINNESOTA TIMBERWOLVES,89.0
CHICAGO BULLS,240,30,82,10,26,18,22,8,28,25,4,1,14,27,away,loss,88.0,MILWAUKEE BUCKS,104.0
MILWAUKEE BUCKS,240,34,71,10,19,26,35,9,39,27,7,3,17,28,home,win,104.0,CHICAGO BULLS,88.0
PORTLAND TRAIL BLAZERS,240,26,63,3,9,10,12,4,33,19,10,2,20,20,away,loss,65.0,NEW JERSEY NETS,78.0
NEW JERSEY NETS,240,30,77,7,22,11,17,12,31,23,9,4,15,13,home,win,78.0,PORTLAND TRAIL BLAZERS,65.0
ATLANTA HAWKS,290,41,93,10,28,25,33,13,33,29,6,4,23,40,away,loss,117.0,NEW YORK KNICKS,121.0
NEW YORK KNICKS,290,38,76,5,9,40,58,9,33,18,11,3,21,35,home,win,121.0,ATLANTA HAWKS,117.0
UTAH JAZZ,265,38,90,3,12,29,36,19,20,24,9,6,13,25,away,loss,108.0,ORLANDO MAGIC,114.0
ORLANDO MAGIC,265,40,73,4,9,30,36,11,27,25,6,11,21,29,home,win,114.0,UTAH JAZZ,108.0
LOS ANGELES CLIPPERS,240,35,102,5,19,20,30,24,35,15,8,1,15,16,away,loss,95.0,PHOENIX SUNS,126.0
PHOENIX SUNS,240,50,90,16,31,10,11,3,44,31,6,6,16,20,home,win,126.0,LOS ANGELES CLIPPERS,95.0
DETROIT PISTONS,240,41,81,10,14,13,21,10,32,28,7,11,9,13,away,win,105.0,TORONTO RAPTORS,98.0
TORONTO RAPTORS,240,42,92,9,17,5,9,16,27,24,5,3,9,18,home,loss,98.0,DETROIT PISTONS,105.0
CHARLOTTE BOBCATS,240,36,90,10,25,17,22,10,23,22,8,1,11,28,away,loss,99.0,WASHINGTON WIZARDS,107.0
WASHINGTON WIZARDS,240,35,74,7,15,30,36,15,40,19,8,4,21,23,home,win,107.0,CHARLOTTE BOBCATS,99.0
