team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
ATLANTA HAWKS,240,38,95,6,17,17,20,14,26,16,8,5,15,24,away,loss,99.0,CHICAGO BULLS,111.0
CHICAGO BULLS,240,46,85,4,12,15,20,11,37,24,5,6,16,24,home,win,111.0,ATLANTA HAWKS,99.0
UTAH JAZZ,240,27,69,5,15,30,38,16,17,15,6,4,16,27,away,loss,89.0,DALLAS MAVERICKS,103.0
DALLAS MAVERICKS,240,36,65,7,13,24,32,10,23,17,9,7,15,26,home,win,103.0,UTAH JAZZ,89.0
PORTLAND TRAIL BLAZERS,240,31,76,4,14,17,27,9,25,18,10,6,13,31,away,loss,83.0,GOLDEN STATE WARRIORS,98.0
GOLDEN STATE WARRIORS,240,38,81,4,15,18,28,18,34,23,6,4,14,20,home,win,98.0,PORTLAND TRAIL BLAZERS,83.0
DENVER NUGGETS,240,30,76,5,17,14,21,4,27,20,7,5,19,17,away,loss,79.0,LOS ANGELES CLIPPERS,112.0
LOS ANGELES CLIPPERS,240,46,86,6,14,14,16,7,37,31,9,6,11,18,home,win,112.0,DENVER NUGGETS,79.0
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,34,76,3,7,24,29,7,36,19,7,2,9,22,away,win,95.0,MEMPHIS GRIZZLIES,86.0
MEMPHIS GRIZZLIES,240,29,67,6,28,22,31,5,32,17,1,4,12,25,home,loss,86.0,NEW ORLEANS/OKLAHOMA CITY HORNETS,95.0
NEW YORK KNICKS,240,24,68,7,13,21,27,8,29,13,4,4,18,22,away,loss,76.0,PHILADELPHIA 76ERS,91.0
PHILADELPHIA 76ERS,240,32,81,6,16,21,25,16,35,22,6,10,11,19,home,win,91.0,NEW YORK KNICKS,76.0
MINNESOTA TIMBERWOLVES,240,36,72,2,7,14,23,11,25,12,5,8,16,23,away,loss,88.0,SAN ANTONIO SPURS,102.0
SAN ANTONIO SPURS,240,39,83,6,13,18,28,17,27,17,6,5,9,18,home,win,102.0,MINNESOTA TIMBERWOLVES,88.0
NEW JERSEY NETS,240,39,85,4,20,22,30,15,23,19,6,2,11,26,away,loss,104.0,SEATTLE SUPERSONICS,113.0
SEATTLE SUPERSONICS,240,42,79,8,19,21,27,11,31,23,5,6,13,28,home,win,113.0,NEW JERSEY NETS,104.0
CHARLOTTE BOBCATS,240,37,85,8,21,15,21,7,28,21,8,2,7,32,away,loss,97.0,WASHINGTON WIZARDS,107.0
WASHINGTON WIZARDS,240,36,77,7,16,28,39,11,36,19,2,4,12,22,home,win,107.0,CHARLOTTE BOBCATS,97.0
