team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
PORTLAND TRAIL BLAZERS,240,32,70,2,13,17,20,7,15,20,7,3,20,29,away,loss,83.0,BOSTON CELTICS,115.0
BOSTON CELTICS,240,39,71,10,21,27,37,16,22,22,14,4,16,25,home,win,115.0,PORTLAND TRAIL BLAZERS,83.0
TORONTO RAPTORS,240,34,70,7,24,13,18,6,35,19,10,5,23,25,away,win,88.0,CHARLOTTE BOBCATS,73.0
CHARLOTTE BOBCATS,240,21,66,8,21,23,32,9,30,11,15,0,20,22,home,loss,73.0,TORONTO RAPTORS,88.0
DALLAS MAVERICKS,240,41,80,8,23,14,17,9,27,28,7,4,24,21,away,loss,104.0,DENVER NUGGETS,113.0
DENVER NUGGETS,240,45,81,1,10,22,29,7,24,26,18,2,15,19,home,win,113.0,DALLAS MAVERICKS,104.0
GOLDEN STATE WARRIORS,240,32,81,7,27,24,31,16,29,17,4,5,15,26,away,loss,95.0,INDIANA PACERS,107.0
INDIANA PACERS,240,35,67,9,18,28,39,6,37,18,9,1,15,29,home,win,107.0,GOLDEN STATE WARRIORS,95.0
MEMPHIS GRIZZLIES,240,35,91,6,22,11,16,12,23,19,7,5,6,20,away,loss,87.0,LOS ANGELES CLIPPERS,91.0
LOS ANGELES CLIPPERS,240,34,71,0,1,23,24,11,33,21,4,10,15,21,home,win,91.0,MEMPHIS GRIZZLIES,87.0
UTAH JAZZ,240,33,87,1,6,27,35,18,28,18,11,6,7,17,away,win,94.0,MINNESOTA TIMBERWOLVES,80.0
MINNESOTA TIMBERWOLVES,240,31,83,2,9,16,17,14,32,19,6,7,18,30,home,loss,80.0,UTAH JAZZ,94.0
SAN ANTONIO SPURS,240,33,75,7,20,10,13,13,27,23,10,10,14,15,away,win,83.0,NEW JERSEY NETS,73.0
NEW JERSEY NETS,240,31,75,1,13,10,12,12,25,18,7,4,16,16,home,loss,73.0,SAN ANTONIO SPURS,83.0
NEW YORK KNICKS,240,36,75,6,16,22,32,15,27,16,0,1,11,32,away,loss,100.0,NEW ORLEANS/OKLAHOMA CITY HORNETS,111.0
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,38,73,3,9,32,44,13,27,22,2,3,3,24,home,win,111.0,NEW YORK KNICKS,100.0
DETROIT PISTONS,240,34,84,10,22,6,9,12,28,26,6,3,11,14,away,win,84.0,ORLANDO MAGIC,73.0
ORLANDO MAGIC,240,31,68,1,5,10,19,8,34,10,8,4,17,13,home,loss,73.0,DETROIT PISTONS,84.0
SACRAMENTO KINGS,240,37,80,4,17,26,29,8,32,16,10,3,15,23,away,loss,104.0,PHOENIX SUNS,112.0
PHOENIX SUNS,240,40,78,8,17,24,25,5,28,26,7,6,14,22,home,win,112.0,SACRAMENTO KINGS,104.0
ATLANTA HAWKS,240,35,82,5,18,16,21,10,27,25,9,5,15,26,away,loss,91.0,SEATTLE SUPERSONICS,99.0
SEATTLE SUPERSONICS,240,34,82,4,18,27,30,16,33,18,9,8,13,17,home,win,99.0,ATLANTA HAWKS,91.0
CLEVELAND CAVALIERS,240,32,79,8,20,17,23,11,25,17,3,1,7,22,away,loss,89.0,WASHINGTON WIZARDS,101.0
WASHINGTON WIZARDS,240,37,75,6,13,21,26,9,35,20,3,5,11,16,home,win,101.0,CLEVELAND CAVALIERS,89.0
