team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ORLANDO MAGIC,240,35,70,2,12,22,26,9,28,16,5,3,16,24
BOSTON CELTICS,240,33,66,10,14,26,31,5,19,21,8,1,10,22
NEW YORK KNICKS,240,27,72,5,16,24,33,10,35,14,4,4,15,30
HOUSTON ROCKETS,240,28,68,7,16,27,35,6,32,14,8,8,10,23
SAN ANTONIO SPURS,240,34,78,5,15,19,26,12,27,14,9,5,12,19
INDIANA PACERS,240,33,72,7,17,15,21,9,34,21,8,5,16,21
CHICAGO BULLS,240,40,90,3,13,14,17,6,39,22,5,5,10,20
LOS ANGELES CLIPPERS,240,35,88,1,14,20,28,13,32,22,4,6,13,19
DETROIT PISTONS,240,36,76,11,20,15,18,9,27,26,1,5,13,19
MIAMI HEAT,240,42,90,1,12,15,21,14,23,15,7,4,4,19
MILWAUKEE BUCKS,240,31,69,4,13,13,17,6,27,17,10,0,19,19
NEW JERSEY NETS,240,36,72,7,21,15,18,4,24,32,8,4,14,17
ATLANTA HAWKS,240,31,79,4,12,18,21,9,26,23,10,3,17,22
SACRAMENTO KINGS,240,43,82,4,16,19,23,11,35,27,10,4,17,20
DENVER NUGGETS,265,41,84,4,14,34,40,14,26,22,11,5,15,18
SEATTLE SUPERSONICS,265,42,96,11,23,17,20,21,27,26,5,7,21,34
PORTLAND TRAIL BLAZERS,240,32,82,4,13,13,19,9,23,23,5,5,9,16
TORONTO RAPTORS,240,48,82,10,22,8,13,9,39,21,5,4,10,17
PHILADELPHIA 76ERS,240,38,84,3,9,18,25,12,29,23,8,5,18,33
WASHINGTON WIZARDS,240,33,82,5,17,36,43,14,30,22,10,6,15,24
