team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
WASHINGTON WIZARDS,240,33,78,4,17,29,41,11,29,19,7,4,9,21
CLEVELAND CAVALIERS,240,42,85,7,14,23,27,12,34,26,5,7,13,25
DENVER NUGGETS,240,32,84,0,8,16,18,14,27,16,12,8,14,22
DALLAS MAVERICKS,240,33,74,4,12,13,16,12,35,21,8,11,21,23
BOSTON CELTICS,240,43,81,5,10,9,11,6,31,26,2,2,14,24
DETROIT PISTONS,240,46,91,5,17,18,23,12,30,28,9,4,10,18
MILWAUKEE BUCKS,240,30,77,3,7,22,27,11,24,12,10,6,17,28
LOS ANGELES CLIPPERS,240,35,73,5,12,34,37,11,27,22,9,7,17,25
NEW ORLEANS/OKLAHOMA CITY HORNETS,265,41,93,4,15,16,25,18,36,21,7,2,13,23
MIAMI HEAT,265,37,84,11,26,24,28,8,32,23,6,6,11,20
HOUSTON ROCKETS,240,32,69,1,10,29,36,10,30,14,6,3,12,24
MINNESOTA TIMBERWOLVES,240,30,71,3,20,26,35,10,22,23,7,4,10,29
SEATTLE SUPERSONICS,240,32,75,10,29,25,29,6,26,19,8,4,11,30
NEW JERSEY NETS,240,35,73,5,15,34,41,14,33,22,8,2,13,20
CHARLOTTE BOBCATS,240,30,79,3,10,14,17,10,27,20,7,2,10,28
ORLANDO MAGIC,240,30,72,2,5,23,35,16,34,11,6,6,12,16
TORONTO RAPTORS,240,36,86,4,14,16,23,16,32,14,3,4,18,24
PHILADELPHIA 76ERS,240,40,87,1,5,23,29,14,32,27,9,6,10,18
UTAH JAZZ,240,31,79,3,11,18,26,15,22,19,4,2,17,26
SACRAMENTO KINGS,240,41,75,6,14,31,37,11,30,28,11,8,11,23
ATLANTA HAWKS,240,30,73,3,6,16,24,18,21,8,3,8,18,19
SAN ANTONIO SPURS,240,44,84,3,9,12,19,16,24,22,11,6,9,20
