team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MILWAUKEE BUCKS,240,33,76,4,11,22,28,11,37,21,2,3,9,21
BOSTON CELTICS,240,29,75,5,21,23,28,7,29,23,7,7,6,24
LOS ANGELES CLIPPERS,240,34,80,6,17,33,37,11,35,15,4,5,8,15
CHICAGO BULLS,240,38,91,7,17,13,16,14,33,17,2,4,11,24
GOLDEN STATE WARRIORS,240,40,77,10,17,21,38,9,25,17,9,1,12,26
MIAMI HEAT,240,40,77,8,24,18,26,9,30,21,5,6,16,26
INDIANA PACERS,240,34,85,4,18,20,23,17,27,13,4,6,11,28
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,29,69,2,7,30,40,11,29,15,7,4,9,23
CLEVELAND CAVALIERS,240,27,79,3,12,16,24,15,21,11,9,3,15,17
ORLANDO MAGIC,240,42,73,3,5,15,20,11,33,22,8,5,12,20
MEMPHIS GRIZZLIES,240,36,76,9,16,12,14,10,33,20,3,7,18,27
SACRAMENTO KINGS,240,36,86,3,12,30,37,20,29,19,11,4,8,17
LOS ANGELES LAKERS,240,39,80,4,13,18,24,11,32,18,7,4,8,15
SAN ANTONIO SPURS,240,32,70,11,19,17,24,5,30,22,6,4,11,20
MINNESOTA TIMBERWOLVES,240,40,84,2,12,14,19,12,24,29,8,5,16,23
SEATTLE SUPERSONICS,240,38,79,5,16,26,35,14,25,25,6,2,16,18
DENVER NUGGETS,240,41,78,10,19,16,21,7,38,17,2,3,8,19
TORONTO RAPTORS,240,34,84,11,28,18,27,13,27,20,4,4,5,19
