team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHICAGO BULLS,240,38,85,2,9,23,27,7,30,19,8,4,8,16
BOSTON CELTICS,240,34,82,8,20,21,22,15,33,19,4,11,19,25
NEW JERSEY NETS,240,28,75,3,10,20,25,11,37,17,5,6,11,18
DETROIT PISTONS,240,30,88,3,17,11,20,17,37,17,8,9,8,20
CLEVELAND CAVALIERS,265,41,95,8,21,14,20,14,29,17,10,2,9,23
HOUSTON ROCKETS,265,35,72,7,14,25,29,5,37,20,3,6,16,18
PHILADELPHIA 76ERS,240,32,86,4,12,11,12,16,20,17,16,4,16,16
INDIANA PACERS,240,34,67,9,21,15,20,13,35,28,13,4,26,22
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,38,85,4,11,14,20,11,34,19,5,3,12,31
LOS ANGELES LAKERS,240,33,65,5,15,34,49,4,34,24,6,4,9,19
CHARLOTTE BOBCATS,240,34,78,4,14,23,30,10,23,23,10,7,10,27
MEMPHIS GRIZZLIES,240,37,80,8,25,20,29,18,29,22,5,6,17,26
TORONTO RAPTORS,265,46,94,12,33,12,17,13,22,25,9,0,11,34
MILWAUKEE BUCKS,265,41,74,9,20,34,45,9,32,32,5,4,15,20
NEW YORK KNICKS,240,28,68,4,9,34,47,7,30,22,8,2,15,33
MINNESOTA TIMBERWOLVES,240,27,68,4,10,40,51,5,36,21,7,5,15,30
ATLANTA HAWKS,240,34,85,7,17,26,34,23,18,19,10,1,13,25
ORLANDO MAGIC,240,43,72,3,6,19,25,10,27,23,3,5,14,25
LOS ANGELES CLIPPERS,240,32,64,1,5,32,37,7,34,16,8,5,16,25
PORTLAND TRAIL BLAZERS,240,24,70,6,17,29,38,13,26,11,9,4,16,25
GOLDEN STATE WARRIORS,240,33,76,9,22,15,21,13,35,20,6,4,14,21
SACRAMENTO KINGS,240,30,84,7,26,16,21,15,29,20,9,4,11,18
SAN ANTONIO SPURS,240,37,74,6,16,22,25,8,19,20,14,3,16,20
SEATTLE SUPERSONICS,240,39,75,10,16,18,21,10,26,24,8,2,21,22
