team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHICAGO BULLS,240,32,95,8,29,10,19,19,27,24,6,2,18,29
GOLDEN STATE WARRIORS,240,35,75,8,22,22,27,11,36,20,8,6,19,25
LOS ANGELES LAKERS,240,25,77,4,11,19,23,15,30,12,5,12,17,20
MEMPHIS GRIZZLIES,240,31,82,4,15,19,25,18,32,14,8,11,14,22
NEW YORK KNICKS,240,27,64,5,10,14,24,9,35,14,8,8,22,19
UTAH JAZZ,240,22,75,4,18,14,17,12,28,16,8,7,20,26
