team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CLEVELAND CAVALIERS,240,39,81,5,14,18,25,17,32,18,6,5,20,26
CHARLOTTE BOBCATS,240,34,85,4,16,25,31,14,20,18,11,6,11,23
DENVER NUGGETS,240,29,75,4,16,17,24,9,21,12,8,4,19,30
DALLAS MAVERICKS,240,37,71,3,10,26,32,10,32,16,8,7,17,24
PHOENIX SUNS,240,40,76,6,21,16,23,6,27,24,3,2,10,18
DETROIT PISTONS,240,44,88,9,17,12,22,17,30,21,8,5,9,22
HOUSTON ROCKETS,240,37,85,6,19,8,13,12,26,18,7,1,12,18
LOS ANGELES LAKERS,240,42,76,9,19,11,13,5,28,25,6,2,11,19
ATLANTA HAWKS,240,34,72,6,15,13,21,7,28,22,8,8,16,23
MEMPHIS GRIZZLIES,240,33,73,11,24,21,28,10,34,19,8,2,15,19
GOLDEN STATE WARRIORS,265,39,94,11,39,15,18,15,29,27,5,3,21,25
MINNESOTA TIMBERWOLVES,265,40,90,1,9,25,33,15,33,18,8,7,17,27
MIAMI HEAT,240,31,75,2,12,14,25,11,37,19,6,3,15,22
NEW JERSEY NETS,240,33,78,8,19,16,20,5,31,22,7,4,9,20
NEW YORK KNICKS,240,33,64,4,8,25,32,9,23,19,11,2,25,24
PHILADELPHIA 76ERS,240,39,71,3,12,33,37,8,25,30,14,4,16,20
LOS ANGELES CLIPPERS,240,36,85,6,16,18,22,19,35,16,5,3,20,21
SACRAMENTO KINGS,240,40,82,10,27,16,21,7,24,26,9,3,11,18
PORTLAND TRAIL BLAZERS,240,30,77,3,13,20,26,7,24,14,7,11,10,25
SEATTLE SUPERSONICS,240,44,83,11,17,23,25,10,42,26,3,1,14,20
NEW ORLEANS/OKLAHOMA CITY HORNETS,290,45,99,4,14,26,31,14,44,30,7,7,16,19
TORONTO RAPTORS,290,45,113,12,31,11,15,18,38,30,8,2,13,24
