team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SACRAMENTO KINGS,240,36,77,3,10,27,36,13,27,19,8,2,11,19
ATLANTA HAWKS,240,34,73,6,16,19,23,10,29,16,7,3,15,26
INDIANA PACERS,240,35,68,8,22,20,25,1,29,24,2,5,15,22
BOSTON CELTICS,240,39,81,7,16,14,25,10,28,27,8,2,12,23
CHARLOTTE BOBCATS,240,26,74,6,16,18,27,10,27,16,11,5,13,20
DALLAS MAVERICKS,240,36,78,4,10,14,21,16,41,16,4,6,20,20
LOS ANGELES LAKERS,240,33,67,7,15,33,42,10,39,14,6,9,20,26
GOLDEN STATE WARRIORS,240,32,96,10,32,20,22,15,22,25,10,3,11,30
DENVER NUGGETS,240,30,90,3,17,15,22,20,31,15,11,5,16,17
HOUSTON ROCKETS,240,33,79,9,26,14,21,10,34,26,8,11,17,19
CHICAGO BULLS,240,34,90,8,19,32,36,16,32,14,8,4,10,23
NEW YORK KNICKS,240,34,83,12,20,21,28,15,30,21,6,4,19,30
WASHINGTON WIZARDS,240,40,93,7,16,26,34,19,29,17,11,1,13,22
PHILADELPHIA 76ERS,240,45,80,6,18,23,27,8,26,24,4,6,15,24
ORLANDO MAGIC,240,50,90,4,10,14,20,11,29,20,10,4,15,23
PHOENIX SUNS,240,46,89,13,31,18,21,12,24,34,7,8,12,15
DETROIT PISTONS,240,37,80,11,29,13,23,9,24,26,8,7,6,17
SEATTLE SUPERSONICS,240,39,80,4,15,14,17,12,36,19,2,1,12,19
LOS ANGELES CLIPPERS,240,35,72,9,17,24,30,8,32,15,3,7,14,24
UTAH JAZZ,240,40,84,7,12,18,29,12,29,24,9,5,6,27
