team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MILWAUKEE BUCKS,240,35,81,3,16,26,33,17,29,19,6,2,12,22
ATLANTA HAWKS,240,31,70,4,17,23,32,8,28,19,6,5,14,26
TORONTO RAPTORS,265,37,80,16,28,23,26,8,33,15,3,7,14,30
DALLAS MAVERICKS,265,41,90,8,21,25,32,18,27,24,4,7,9,23
SEATTLE SUPERSONICS,240,38,90,7,20,23,29,11,29,19,10,2,10,20
MIAMI HEAT,240,51,87,3,18,10,21,10,41,34,5,9,15,21
CHICAGO BULLS,240,38,80,8,20,18,20,14,34,20,3,3,22,40
PHILADELPHIA 76ERS,240,30,70,5,11,43,57,10,26,13,11,5,12,21
CHARLOTTE BOBCATS,240,49,100,11,20,12,15,8,32,24,6,1,10,25
PHOENIX SUNS,240,48,96,10,26,30,32,15,36,22,4,5,13,17
GOLDEN STATE WARRIORS,240,30,89,4,10,11,16,17,30,11,10,7,14,18
SAN ANTONIO SPURS,240,37,91,7,17,11,14,17,38,22,7,12,15,17
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,37,74,5,12,21,27,12,32,16,11,5,21,26
UTAH JAZZ,240,37,77,3,10,18,30,9,25,22,8,3,17,23
NEW YORK KNICKS,240,29,71,5,7,26,35,18,26,14,9,0,27,31
WASHINGTON WIZARDS,240,35,69,11,17,29,33,8,26,19,11,7,15,27
