team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW JERSEY NETS,240,41,83,5,16,10,20,13,31,30,9,7,16,24
CHARLOTTE BOBCATS,240,32,84,1,7,19,27,16,27,12,11,9,13,21
PHOENIX SUNS,240,43,97,10,25,22,29,16,38,25,8,3,17,23
GOLDEN STATE WARRIORS,240,43,90,7,21,17,27,7,37,18,10,1,18,24
NEW YORK KNICKS,240,27,74,0,3,25,32,12,34,12,8,3,14,26
LOS ANGELES CLIPPERS,240,29,74,4,12,22,27,10,32,20,5,9,11,25
BOSTON CELTICS,240,34,71,3,12,30,35,11,30,13,7,6,15,26
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,32,77,0,3,23,33,11,25,16,7,4,14,21
CHICAGO BULLS,240,37,78,10,20,18,24,4,28,24,12,1,15,22
ORLANDO MAGIC,240,34,74,4,15,21,29,11,33,18,10,5,23,26
MILWAUKEE BUCKS,240,36,84,5,18,11,16,10,34,22,11,5,18,23
PHILADELPHIA 76ERS,240,31,73,2,14,21,29,5,35,17,8,8,18,23
MINNESOTA TIMBERWOLVES,240,32,73,5,12,15,20,15,32,13,6,6,15,22
PORTLAND TRAIL BLAZERS,240,28,73,1,11,17,23,9,26,13,6,6,12,24
MIAMI HEAT,240,28,78,5,13,23,28,12,28,16,9,1,17,23
SAN ANTONIO SPURS,240,38,81,3,18,19,25,10,31,24,11,6,15,25
LOS ANGELES LAKERS,240,43,80,7,15,9,15,10,38,28,6,6,16,25
TORONTO RAPTORS,240,34,83,4,22,19,24,9,24,19,9,2,10,20
ATLANTA HAWKS,240,29,62,5,8,20,31,9,20,9,6,2,21,28
UTAH JAZZ,240,38,73,2,8,17,22,13,24,29,7,7,18,31
