team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
GOLDEN STATE WARRIORS,240,43,92,11,24,25,28,13,19,26,15,1,11,30
DALLAS MAVERICKS,240,40,74,6,15,35,38,11,32,24,4,7,20,25
LOS ANGELES CLIPPERS,240,34,75,3,12,14,19,12,32,13,11,3,24,27
MEMPHIS GRIZZLIES,240,33,74,8,25,21,29,12,31,20,13,8,20,20
MINNESOTA TIMBERWOLVES,240,28,70,1,8,25,34,8,34,17,9,2,12,24
NEW JERSEY NETS,240,28,77,7,23,23,33,12,36,21,7,6,13,28
HOUSTON ROCKETS,240,33,67,7,22,20,21,3,36,11,8,6,19,22
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,35,97,5,21,17,19,21,30,20,12,4,10,19
PORTLAND TRAIL BLAZERS,240,42,88,6,13,18,23,19,30,17,5,5,20,30
PHOENIX SUNS,240,43,90,13,30,26,32,13,29,24,9,4,10,23
WASHINGTON WIZARDS,240,37,77,16,25,19,29,11,28,16,5,3,14,28
UTAH JAZZ,240,36,77,2,9,23,35,14,29,23,4,4,14,28
