team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PHOENIX SUNS,265,42,91,5,23,18,21,10,38,25,11,6,14,19
CHICAGO BULLS,265,41,95,8,23,8,11,13,36,23,6,3,18,22
DETROIT PISTONS,240,29,81,4,20,22,29,17,26,17,4,5,12,19
CLEVELAND CAVALIERS,240,35,80,6,18,21,26,12,34,16,9,4,10,22
SAN ANTONIO SPURS,240,34,78,7,24,23,29,7,32,28,6,8,9,29
DENVER NUGGETS,240,26,76,3,6,33,44,18,31,16,5,6,16,23
GOLDEN STATE WARRIORS,240,31,82,6,24,26,33,11,30,17,5,0,5,21
HOUSTON ROCKETS,240,32,78,5,23,20,27,12,32,12,0,5,8,29
BOSTON CELTICS,240,47,83,5,10,12,16,10,25,26,6,6,14,20
LOS ANGELES CLIPPERS,240,37,80,4,9,14,19,12,25,21,9,6,18,18
DALLAS MAVERICKS,240,35,76,5,16,20,26,12,25,15,9,4,13,24
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,33,72,4,8,20,29,13,26,18,6,2,15,23
MEMPHIS GRIZZLIES,240,36,65,9,22,19,25,6,22,23,5,5,11,18
SEATTLE SUPERSONICS,240,37,73,6,19,16,18,11,22,22,7,4,10,18
PHILADELPHIA 76ERS,240,37,70,5,9,23,31,6,28,17,8,8,18,32
UTAH JAZZ,240,37,80,5,12,29,35,13,30,25,6,8,15,24
