team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ORLANDO MAGIC,240,37,73,2,3,18,31,14,31,18,2,6,12,23
ATLANTA HAWKS,240,35,84,5,16,21,28,20,23,21,5,6,5,23
LOS ANGELES CLIPPERS,240,39,72,5,9,15,17,2,39,25,8,5,12,14
BOSTON CELTICS,240,34,96,4,20,9,11,17,27,22,5,7,10,15
LOS ANGELES LAKERS,240,32,74,8,22,30,38,15,31,21,11,3,23,30
CHARLOTTE BOBCATS,240,39,81,8,15,26,36,13,26,24,17,3,16,29
SEATTLE SUPERSONICS,240,31,78,6,20,9,16,8,32,12,7,8,20,16
HOUSTON ROCKETS,240,41,93,6,18,12,15,13,37,24,13,6,10,14
DETROIT PISTONS,240,37,85,3,17,10,15,14,22,28,5,2,7,12
PHILADELPHIA 76ERS,240,36,70,1,4,7,12,9,32,22,3,1,14,15
MINNESOTA TIMBERWOLVES,240,34,74,2,7,15,21,7,28,16,4,10,10,22
PORTLAND TRAIL BLAZERS,240,35,81,1,5,18,26,16,30,14,3,9,8,19
NEW YORK KNICKS,240,30,61,6,15,24,35,7,27,20,6,14,21,27
TORONTO RAPTORS,240,36,84,8,22,24,27,17,25,19,9,5,12,25
SACRAMENTO KINGS,240,25,73,4,14,25,35,18,25,11,12,4,18,26
UTAH JAZZ,240,27,68,2,8,33,41,14,30,12,11,6,18,26
