team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MEMPHIS GRIZZLIES,240,38,74,10,23,12,26,12,21,25,12,3,16,24
BOSTON CELTICS,240,36,61,7,9,20,26,4,28,26,13,3,18,24
SAN ANTONIO SPURS,240,37,75,4,13,16,20,10,34,16,6,5,20,20
CHARLOTTE BOBCATS,240,37,90,1,7,11,19,12,26,16,14,5,12,23
GOLDEN STATE WARRIORS,240,30,89,9,31,15,20,14,28,20,9,4,15,25
CHICAGO BULLS,240,31,67,6,12,17,26,7,38,17,7,2,26,20
SEATTLE SUPERSONICS,240,34,83,10,27,7,13,9,12,19,10,0,9,29
CLEVELAND CAVALIERS,240,38,76,5,14,31,33,21,35,18,3,6,19,16
SACRAMENTO KINGS,240,31,81,9,21,20,29,12,24,21,7,2,11,24
DENVER NUGGETS,240,42,88,2,13,21,27,21,35,28,4,10,12,25
MIAMI HEAT,240,34,74,3,11,19,28,14,33,19,7,8,21,30
INDIANA PACERS,240,32,75,4,10,27,38,9,31,20,9,2,13,24
LOS ANGELES LAKERS,240,32,78,2,6,8,14,9,29,17,6,1,13,22
MINNESOTA TIMBERWOLVES,240,34,76,3,15,17,19,10,29,22,6,9,13,23
UTAH JAZZ,240,31,82,6,17,15,18,14,25,25,8,2,10,28
NEW JERSEY NETS,240,33,67,4,12,21,32,9,35,26,5,6,14,23
ORLANDO MAGIC,240,28,63,4,6,28,33,10,33,15,2,3,20,24
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,34,77,0,8,15,18,8,25,15,11,3,13,25
DALLAS MAVERICKS,240,37,78,3,14,20,30,12,24,19,5,8,14,23
PHILADELPHIA 76ERS,240,43,83,2,5,24,28,13,30,23,8,6,12,22
NEW YORK KNICKS,240,28,71,1,5,26,35,16,30,13,5,5,19,30
PORTLAND TRAIL BLAZERS,240,37,83,2,14,19,31,17,27,13,10,7,11,26
LOS ANGELES CLIPPERS,240,41,82,2,5,18,21,12,33,26,2,5,12,25
WASHINGTON WIZARDS,240,35,94,4,17,23,29,18,27,20,5,3,8,19
