team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHARLOTTE BOBCATS,240,40,81,3,14,15,23,15,24,19,9,5,13,21
LOS ANGELES LAKERS,240,36,85,7,15,20,22,21,25,22,7,7,15,18
BOSTON CELTICS,240,36,84,3,13,27,33,12,24,16,10,5,11,32
NEW YORK KNICKS,240,31,71,2,7,35,46,15,33,16,6,2,22,28
ATLANTA HAWKS,240,32,87,4,11,26,33,16,29,8,11,3,22,26
PHOENIX SUNS,240,39,82,9,26,25,29,9,34,27,6,11,21,30
UTAH JAZZ,240,35,66,4,10,24,29,4,26,22,6,3,14,26
PORTLAND TRAIL BLAZERS,240,32,75,6,16,23,33,18,22,16,8,3,13,26
MINNESOTA TIMBERWOLVES,240,32,74,2,9,19,27,15,32,15,9,3,19,22
SACRAMENTO KINGS,240,32,76,1,10,12,20,9,27,17,5,0,17,23
INDIANA PACERS,240,40,75,9,23,13,19,6,22,22,8,5,15,27
SEATTLE SUPERSONICS,240,37,79,7,18,26,29,10,27,20,10,2,11,20
