team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW JERSEY NETS,240,32,73,11,22,15,20,8,31,23,5,6,12,21
HOUSTON ROCKETS,240,26,76,2,11,23,27,11,33,16,4,3,10,17
ORLANDO MAGIC,240,35,79,0,4,13,16,7,27,22,5,6,14,21
INDIANA PACERS,240,35,75,4,13,23,30,9,34,19,9,5,12,19
MINNESOTA TIMBERWOLVES,240,33,75,2,13,19,23,5,28,17,9,3,11,25
LOS ANGELES CLIPPERS,240,33,77,3,10,26,31,14,33,21,8,6,13,18
ATLANTA HAWKS,240,33,73,4,17,17,21,8,25,24,10,2,18,32
MILWAUKEE BUCKS,240,32,64,3,8,21,30,8,26,20,6,2,20,23
DENVER NUGGETS,240,39,77,4,10,26,35,11,31,18,7,7,9,21
NEW YORK KNICKS,240,42,83,4,12,8,15,14,29,24,3,3,16,27
