team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
INDIANA PACERS,240,41,94,10,24,23,29,7,29,32,7,5,9,23,away,loss,115.0,DENVER NUGGETS,135.0
DENVER NUGGETS,240,50,86,10,24,25,35,8,41,38,6,8,15,25,home,win,135.0,INDIANA PACERS,115.0
SAN ANTONIO SPURS,240,35,75,10,22,11,15,7,34,19,7,3,12,10,away,win,91.0,MIAMI HEAT,84.0
MIAMI HEAT,240,36,81,6,16,6,8,7,33,24,7,1,12,12,home,loss,84.0,SAN ANTONIO SPURS,91.0
TORONTO RAPTORS,240,39,72,6,14,13,19,5,27,27,6,3,15,21,away,loss,97.0,MILWAUKEE BUCKS,107.0
MILWAUKEE BUCKS,240,38,79,11,26,20,24,10,27,24,9,1,11,17,home,win,107.0,TORONTO RAPTORS,97.0
SACRAMENTO KINGS,240,35,83,5,19,15,19,9,29,24,11,2,6,24,away,loss,90.0,NEW JERSEY NETS,98.0
NEW JERSEY NETS,240,34,73,10,20,20,35,14,39,24,3,6,16,20,home,win,98.0,SACRAMENTO KINGS,90.0
GOLDEN STATE WARRIORS,240,40,80,9,20,25,33,9,29,20,7,2,15,28,away,loss,114.0,UTAH JAZZ,119.0
UTAH JAZZ,240,43,88,3,13,30,39,17,32,26,6,6,10,23,home,win,119.0,GOLDEN STATE WARRIORS,114.0
