team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
CHICAGO BULLS,265,41,96,3,17,20,22,10,43,20,5,10,16,26,away,win,105.0,BOSTON CELTICS,103.0
BOSTON CELTICS,265,39,99,4,16,21,27,10,35,16,8,7,12,20,home,loss,103.0,CHICAGO BULLS,105.0
DETROIT PISTONS,240,36,78,2,12,10,12,9,22,15,2,3,7,18,away,loss,84.0,CLEVELAND CAVALIERS,102.0
CLEVELAND CAVALIERS,240,37,70,5,15,23,27,6,28,24,4,5,4,10,home,win,102.0,DETROIT PISTONS,84.0
HOUSTON ROCKETS,240,38,65,8,21,24,28,8,36,16,5,6,12,21,away,win,108.0,PORTLAND TRAIL BLAZERS,81.0
PORTLAND TRAIL BLAZERS,240,35,84,1,11,10,16,15,15,12,4,3,8,23,home,loss,81.0,HOUSTON ROCKETS,108.0
DALLAS MAVERICKS,240,42,78,5,17,16,17,10,29,14,5,3,7,17,away,win,105.0,SAN ANTONIO SPURS,97.0
SAN ANTONIO SPURS,240,38,81,11,14,10,12,12,23,18,2,0,9,20,home,loss,97.0,DALLAS MAVERICKS,105.0
