team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
CLEVELAND CAVALIERS,240,39,91,8,21,12,18,15,38,15,5,6,12,17,2018-11-10,away,loss,98.0,CHICAGO BULLS,99.0,0.3,0.27586206896551724,53
CHICAGO BULLS,240,39,82,7,18,14,21,5,33,20,7,5,11,19,2018-11-10,home,win,99.0,CLEVELAND CAVALIERS,98.0,0.32231404958677684,0.28,38
OKLAHOMA CITY THUNDER,240,38,97,9,34,11,18,26,27,17,9,2,16,19,2018-11-10,away,loss,96.0,DALLAS MAVERICKS,111.0,0.2814814814814815,0.20930232558139536,53
DALLAS MAVERICKS,240,43,77,14,29,11,17,4,34,31,9,5,16,23,2018-11-10,home,win,111.0,OKLAHOMA CITY THUNDER,96.0,0.35833333333333334,0.32558139534883723,38
BROOKLYN NETS,240,36,77,7,24,21,29,12,29,20,7,2,14,22,2018-11-10,away,loss,100.0,GOLDEN STATE WARRIORS,116.0,0.3185840707964602,0.22580645161290322,41
GOLDEN STATE WARRIORS,240,46,83,7,16,17,21,6,30,27,9,7,10,24,2018-11-10,home,win,116.0,BROOKLYN NETS,100.0,0.35658914728682173,0.30434782608695654,36
MILWAUKEE BUCKS,265,47,105,16,46,16,23,15,37,31,11,8,17,26,2018-11-10,away,loss,126.0,LOS ANGELES CLIPPERS,128.0,0.3092105263157895,0.25806451612903225,52
LOS ANGELES CLIPPERS,265,46,99,14,34,22,27,10,44,26,6,6,17,19,2018-11-10,home,win,128.0,MILWAUKEE BUCKS,126.0,0.31724137931034485,0.2916666666666667,54
PHILADELPHIA 76ERS,265,44,85,8,31,10,16,8,40,27,10,6,23,20,2018-11-10,away,loss,106.0,MEMPHIS GRIZZLIES,112.0,0.34108527131782945,0.20512820512820512,48
MEMPHIS GRIZZLIES,265,45,103,11,30,11,15,15,30,16,9,3,11,18,2018-11-10,home,win,112.0,PHILADELPHIA 76ERS,106.0,0.30405405405405406,0.2682926829268293,45
WASHINGTON WIZARDS,240,40,83,8,22,28,38,16,32,14,8,5,15,25,2018-11-10,away,win,116.0,MIAMI HEAT,110.0,0.3252032520325203,0.26666666666666666,48
MIAMI HEAT,240,39,88,12,33,20,26,14,24,25,5,5,19,31,2018-11-10,home,loss,110.0,WASHINGTON WIZARDS,116.0,0.30708661417322836,0.26666666666666666,38
PHOENIX SUNS,240,35,86,10,36,19,20,10,27,16,10,7,14,27,2018-11-10,away,loss,99.0,NEW ORLEANS PELICANS,119.0,0.2892561983471074,0.21739130434782608,37
NEW ORLEANS PELICANS,240,42,86,11,25,24,29,16,38,28,7,7,18,18,2018-11-10,home,win,119.0,PHOENIX SUNS,99.0,0.328125,0.3055555555555556,54
LOS ANGELES LAKERS,240,41,99,12,38,7,17,17,42,23,11,3,14,20,2018-11-10,away,win,101.0,SACRAMENTO KINGS,86.0,0.29285714285714287,0.24,59
SACRAMENTO KINGS,240,32,92,6,25,16,20,13,37,11,7,5,19,20,2018-11-10,home,loss,86.0,LOS ANGELES LAKERS,101.0,0.25806451612903225,0.1935483870967742,50
HOUSTON ROCKETS,240,30,90,9,41,20,29,15,34,11,10,5,8,24,2018-11-10,away,loss,89.0,SAN ANTONIO SPURS,96.0,0.25,0.18,49
SAN ANTONIO SPURS,240,33,74,10,20,20,27,8,38,17,3,5,15,20,2018-11-10,home,win,96.0,HOUSTON ROCKETS,89.0,0.308411214953271,0.3333333333333333,46
NEW YORK KNICKS,240,44,96,6,22,18,22,16,31,18,12,6,14,26,2018-11-10,away,loss,112.0,TORONTO RAPTORS,128.0,0.3142857142857143,0.21428571428571427,47
TORONTO RAPTORS,240,42,79,14,35,30,40,12,34,24,8,4,15,20,2018-11-10,home,win,128.0,NEW YORK KNICKS,112.0,0.34710743801652894,0.2857142857142857,46
