team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
UTAH JAZZ,240,43,94,10,32,18,26,14,35,25,12,3,15,24,2019-03-21,away,loss,114.0,ATLANTA HAWKS,117.0,0.31386861313868614,0.23809523809523808,49
ATLANTA HAWKS,240,41,87,19,40,16,23,9,34,26,8,5,16,23,2019-03-21,home,win,117.0,UTAH JAZZ,114.0,0.3203125,0.3220338983050847,43
MINNESOTA TIMBERWOLVES,240,39,88,10,28,18,29,9,40,23,6,7,13,21,2019-03-21,away,loss,106.0,CHARLOTTE HORNETS,113.0,0.30708661417322836,0.2631578947368421,49
CHARLOTTE HORNETS,240,43,100,9,29,18,24,15,40,26,5,6,10,24,2019-03-21,home,win,113.0,MINNESOTA TIMBERWOLVES,106.0,0.3006993006993007,0.23684210526315788,55
INDIANA PACERS,240,35,91,6,23,13,17,12,35,17,7,3,15,18,2019-03-21,away,loss,89.0,GOLDEN STATE WARRIORS,112.0,0.2777777777777778,0.20689655172413793,47
GOLDEN STATE WARRIORS,240,44,89,13,36,11,16,10,40,32,6,8,15,19,2019-03-21,home,win,112.0,INDIANA PACERS,89.0,0.3308270676691729,0.2653061224489796,50
DETROIT PISTONS,240,38,90,17,42,25,34,19,27,23,11,6,13,26,2019-03-21,away,win,118.0,PHOENIX SUNS,98.0,0.296875,0.288135593220339,46
PHOENIX SUNS,240,35,73,7,26,21,26,7,28,22,6,4,19,27,2019-03-21,home,loss,98.0,DETROIT PISTONS,118.0,0.32407407407407407,0.21212121212121213,35
DALLAS MAVERICKS,240,36,92,12,40,16,23,9,34,23,5,6,7,22,2019-03-21,away,loss,100.0,SACRAMENTO KINGS,116.0,0.28125,0.23076923076923078,43
SACRAMENTO KINGS,240,41,87,13,35,21,28,12,46,24,7,9,12,18,2019-03-21,home,win,116.0,DALLAS MAVERICKS,100.0,0.3203125,0.2708333333333333,58
DENVER NUGGETS,240,46,87,14,30,7,11,9,31,30,9,4,8,20,2019-03-21,away,win,113.0,WASHINGTON WIZARDS,108.0,0.3458646616541353,0.3181818181818182,40
WASHINGTON WIZARDS,240,40,79,8,28,20,21,6,32,25,4,2,12,15,2019-03-21,home,loss,108.0,DENVER NUGGETS,113.0,0.33613445378151263,0.2222222222222222,38
