team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
GOLDEN STATE WARRIORS,240,37,83,12,33,29,34,11,42,25,8,7,14,19,2019-01-26,away,win,115.0,BOSTON CELTICS,111.0,0.30833333333333335,0.26666666666666666,53
BOSTON CELTICS,240,41,99,15,40,14,15,15,34,23,6,4,14,22,2019-01-26,home,loss,111.0,GOLDEN STATE WARRIORS,115.0,0.29285714285714287,0.2727272727272727,49
PHILADELPHIA 76ERS,240,38,91,14,36,20,27,11,30,29,7,2,12,24,2019-01-26,away,loss,110.0,DENVER NUGGETS,126.0,0.29457364341085274,0.28,41
DENVER NUGGETS,240,48,94,8,24,22,29,11,40,27,4,4,10,21,2019-01-26,home,win,126.0,PHILADELPHIA 76ERS,110.0,0.3380281690140845,0.25,51
INDIANA PACERS,240,32,74,9,27,30,36,7,33,20,7,5,17,26,2019-01-26,away,loss,103.0,MEMPHIS GRIZZLIES,106.0,0.3018867924528302,0.25,40
MEMPHIS GRIZZLIES,240,39,80,9,28,19,28,8,28,29,8,5,12,24,2019-01-26,home,win,106.0,INDIANA PACERS,103.0,0.3277310924369748,0.24324324324324326,36
SAN ANTONIO SPURS,240,47,91,11,24,21,25,9,42,30,5,3,9,19,2019-01-26,away,win,126.0,NEW ORLEANS PELICANS,114.0,0.34057971014492755,0.3142857142857143,51
NEW ORLEANS PELICANS,240,45,96,7,27,17,24,10,31,26,6,6,8,18,2019-01-26,home,loss,114.0,SAN ANTONIO SPURS,126.0,0.3191489361702128,0.20588235294117646,41
ATLANTA HAWKS,240,42,92,12,33,15,20,9,27,24,9,7,10,27,2019-01-26,away,loss,111.0,PORTLAND TRAIL BLAZERS,120.0,0.31343283582089554,0.26666666666666666,36
PORTLAND TRAIL BLAZERS,240,41,82,11,30,27,30,11,36,26,8,7,18,23,2019-01-26,home,win,120.0,ATLANTA HAWKS,111.0,0.3333333333333333,0.2682926829268293,47
