team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
CHICAGO BULLS,240,23,67,4,20,37,52,8,22,19,9,5,13,24,2007-05-07,away,loss,87.0,DETROIT PISTONS,108.0,0.25555555555555554,0.16666666666666666,30
DETROIT PISTONS,240,41,78,10,19,16,23,15,36,25,4,1,21,36,2007-05-07,home,win,108.0,CHICAGO BULLS,87.0,0.3445378151260504,0.3448275862068966,51
GOLDEN STATE WARRIORS,240,41,90,12,31,18,25,14,22,20,14,6,16,25,2007-05-07,away,loss,112.0,UTAH JAZZ,116.0,0.31297709923664124,0.27906976744186046,36
UTAH JAZZ,240,42,88,8,23,24,32,20,34,24,9,8,20,25,2007-05-07,home,win,116.0,GOLDEN STATE WARRIORS,112.0,0.3230769230769231,0.25806451612903225,54
