team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
CHARLOTTE BOBCATS,240,31,76,4,11,18,27,16,27,17,8,5,14,23,away,loss,84.0,DALLAS MAVERICKS,97.0
DALLAS MAVERICKS,240,37,76,5,16,18,24,9,34,20,6,4,14,22,home,win,97.0,CHARLOTTE BOBCATS,84.0
BOSTON CELTICS,240,42,93,4,13,17,27,18,30,21,10,12,16,32,away,loss,105.0,DENVER NUGGETS,116.0
DENVER NUGGETS,240,40,90,7,13,29,43,20,33,25,10,5,14,17,home,win,116.0,BOSTON CELTICS,105.0
NEW JERSEY NETS,240,30,65,3,9,28,37,5,32,18,5,2,13,24,away,loss,91.0,DETROIT PISTONS,92.0
DETROIT PISTONS,240,30,72,7,21,25,28,8,26,20,8,4,12,25,home,win,92.0,NEW JERSEY NETS,91.0
PHILADELPHIA 76ERS,240,38,86,2,7,19,26,15,28,16,12,2,15,21,away,loss,97.0,GOLDEN STATE WARRIORS,116.0
GOLDEN STATE WARRIORS,240,40,73,13,28,23,32,7,32,25,6,7,19,17,home,win,116.0,PHILADELPHIA 76ERS,97.0
HOUSTON ROCKETS,240,27,75,8,23,14,21,13,35,17,12,7,21,21,away,loss,76.0,INDIANA PACERS,81.0
INDIANA PACERS,240,29,83,3,20,20,25,15,38,14,13,6,17,19,home,win,81.0,HOUSTON ROCKETS,76.0
CHICAGO BULLS,240,34,79,4,16,26,33,8,27,18,10,4,13,20,away,loss,98.0,MINNESOTA TIMBERWOLVES,100.0
MINNESOTA TIMBERWOLVES,240,38,75,3,10,21,30,12,37,26,6,0,22,28,home,win,100.0,CHICAGO BULLS,98.0
PORTLAND TRAIL BLAZERS,240,35,87,1,12,16,22,16,29,8,13,5,17,20,away,loss,87.0,PHOENIX SUNS,110.0
PHOENIX SUNS,240,44,82,9,18,13,13,7,32,29,9,4,17,20,home,win,110.0,PORTLAND TRAIL BLAZERS,87.0
MILWAUKEE BUCKS,240,50,88,1,11,13,14,9,31,19,7,5,11,22,away,win,114.0,SAN ANTONIO SPURS,107.0
SAN ANTONIO SPURS,240,38,84,10,29,21,28,14,26,24,3,5,11,17,home,loss,107.0,MILWAUKEE BUCKS,114.0
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,37,81,5,20,15,28,11,29,23,5,2,13,12,away,loss,94.0,SEATTLE SUPERSONICS,102.0
SEATTLE SUPERSONICS,240,42,77,7,13,11,16,5,31,26,5,4,13,23,home,win,102.0,NEW ORLEANS/OKLAHOMA CITY HORNETS,94.0
LOS ANGELES CLIPPERS,240,34,72,2,10,22,27,7,29,18,5,4,15,28,away,loss,92.0,UTAH JAZZ,102.0
UTAH JAZZ,240,36,77,5,14,25,34,12,32,21,8,5,11,20,home,win,102.0,LOS ANGELES CLIPPERS,92.0
MEMPHIS GRIZZLIES,240,33,71,3,12,32,37,12,31,21,7,7,25,23,away,loss,101.0,WASHINGTON WIZARDS,116.0
WASHINGTON WIZARDS,240,43,88,10,18,20,24,9,25,24,13,5,14,25,home,win,116.0,MEMPHIS GRIZZLIES,101.0
