team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
SACRAMENTO KINGS,240,28,74,3,20,17,25,10,29,12,5,3,18,20,away,loss,76.0,ATLANTA HAWKS,99.0
ATLANTA HAWKS,240,43,89,2,10,11,15,12,33,32,10,6,11,24,home,win,99.0,SACRAMENTO KINGS,76.0
BOSTON CELTICS,240,36,82,8,15,8,11,11,28,16,9,5,19,21,away,loss,88.0,NEW ORLEANS/OKLAHOMA CITY HORNETS,106.0
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,40,76,10,17,16,24,8,29,19,8,5,16,18,home,win,106.0,BOSTON CELTICS,88.0
