team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
HOUSTON ROCKETS,240,32,89,9,25,12,19,19,39,18,6,5,15,16,away,loss,85.0,CLEVELAND CAVALIERS,91.0
CLEVELAND CAVALIERS,240,36,81,8,17,11,18,8,39,20,12,6,14,16,home,win,91.0,HOUSTON ROCKETS,85.0
GOLDEN STATE WARRIORS,240,42,77,10,24,17,20,8,37,24,12,3,21,22,away,win,111.0,DETROIT PISTONS,93.0
DETROIT PISTONS,240,35,81,6,14,17,25,8,26,20,11,3,16,15,home,loss,93.0,GOLDEN STATE WARRIORS,111.0
SAN ANTONIO SPURS,240,30,63,6,17,22,27,7,36,24,5,3,19,17,away,win,88.0,LOS ANGELES CLIPPERS,74.0
LOS ANGELES CLIPPERS,240,30,80,1,9,13,17,11,23,19,12,5,13,24,home,loss,74.0,SAN ANTONIO SPURS,88.0
ATLANTA HAWKS,240,31,76,4,13,15,22,10,30,13,5,5,16,30,away,loss,81.0,MIAMI HEAT,88.0
MIAMI HEAT,240,29,67,8,19,22,37,6,34,20,9,3,13,17,home,win,88.0,ATLANTA HAWKS,81.0
MILWAUKEE BUCKS,240,30,76,4,17,17,20,12,21,11,9,3,19,20,away,loss,81.0,ORLANDO MAGIC,99.0
ORLANDO MAGIC,240,39,78,5,15,16,17,10,31,23,12,5,17,19,home,win,99.0,MILWAUKEE BUCKS,81.0
CHARLOTTE BOBCATS,240,34,73,5,17,22,29,6,15,16,9,3,15,30,away,loss,95.0,UTAH JAZZ,120.0
UTAH JAZZ,240,41,73,1,5,37,47,16,32,29,9,6,17,24,home,win,120.0,CHARLOTTE BOBCATS,95.0
