team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
SACRAMENTO KINGS,240,43,95,9,19,20,27,12,32,31,9,2,10,30,away,loss,115.0,DENVER NUGGETS,120.0
DENVER NUGGETS,240,41,83,6,18,32,43,11,37,31,3,6,16,23,home,win,120.0,SACRAMENTO KINGS,115.0
CHICAGO BULLS,240,43,80,7,11,13,15,11,37,25,5,3,18,24,away,win,106.0,DETROIT PISTONS,88.0
DETROIT PISTONS,240,30,74,7,15,21,26,7,25,18,8,3,14,20,home,loss,88.0,CHICAGO BULLS,106.0
GOLDEN STATE WARRIORS,240,36,82,16,35,22,27,8,27,24,14,4,10,23,away,win,110.0,HOUSTON ROCKETS,99.0
HOUSTON ROCKETS,240,31,75,15,37,22,29,13,36,19,5,4,23,21,home,loss,99.0,GOLDEN STATE WARRIORS,110.0
LOS ANGELES LAKERS,240,34,80,4,12,10,15,12,23,17,9,6,15,21,away,loss,82.0,LOS ANGELES CLIPPERS,90.0
LOS ANGELES CLIPPERS,240,33,78,4,11,20,25,15,30,25,9,11,13,18,home,win,90.0,LOS ANGELES LAKERS,82.0
BOSTON CELTICS,240,34,91,4,16,17,22,16,29,20,5,3,15,22,away,loss,89.0,MILWAUKEE BUCKS,98.0
MILWAUKEE BUCKS,240,38,79,7,17,15,23,12,34,18,8,6,13,22,home,win,98.0,BOSTON CELTICS,89.0
ATLANTA HAWKS,240,33,81,2,13,18,25,13,32,18,10,6,15,22,away,loss,86.0,NEW JERSEY NETS,101.0
NEW JERSEY NETS,240,35,73,11,23,20,30,10,33,28,4,6,16,20,home,win,101.0,ATLANTA HAWKS,86.0
SEATTLE SUPERSONICS,265,39,94,8,28,6,8,12,26,14,7,4,13,21,away,loss,92.0,NEW ORLEANS/OKLAHOMA CITY HORNETS,101.0
NEW ORLEANS/OKLAHOMA CITY HORNETS,265,38,87,8,20,17,19,16,39,23,5,4,17,15,home,win,101.0,SEATTLE SUPERSONICS,92.0
PHILADELPHIA 76ERS,240,36,74,2,14,18,28,3,25,20,11,4,10,19,away,win,92.0,NEW YORK KNICKS,90.0
NEW YORK KNICKS,240,33,75,5,20,19,24,13,36,12,7,1,20,27,home,loss,90.0,PHILADELPHIA 76ERS,92.0
TORONTO RAPTORS,240,35,71,9,19,32,39,8,19,19,13,3,15,24,away,win,111.0,ORLANDO MAGIC,108.0
ORLANDO MAGIC,240,39,75,6,12,24,30,12,29,20,9,3,23,28,home,loss,108.0,TORONTO RAPTORS,111.0
UTAH JAZZ,240,34,79,5,17,16,25,17,28,27,7,4,18,19,away,loss,89.0,PORTLAND TRAIL BLAZERS,94.0
PORTLAND TRAIL BLAZERS,240,31,68,8,19,24,28,4,28,19,11,7,16,21,home,win,94.0,UTAH JAZZ,89.0
CHARLOTTE BOBCATS,240,41,82,6,18,20,22,9,31,30,10,1,8,22,away,win,108.0,WASHINGTON WIZARDS,100.0
WASHINGTON WIZARDS,240,35,76,7,16,23,30,12,30,23,5,4,15,15,home,loss,100.0,CHARLOTTE BOBCATS,108.0
