team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
MEMPHIS GRIZZLIES,240,28,68,3,9,39,42,9,21,17,10,4,12,21,away,win,98.0,BOSTON CELTICS,96.0
BOSTON CELTICS,240,33,69,8,19,22,24,10,26,23,7,5,20,28,home,loss,96.0,MEMPHIS GRIZZLIES,98.0
SAN ANTONIO SPURS,240,36,78,5,15,19,21,10,25,24,5,5,11,18,away,win,96.0,CHARLOTTE BOBCATS,76.0
CHARLOTTE BOBCATS,240,29,71,3,11,15,21,11,26,16,7,7,15,19,home,loss,76.0,SAN ANTONIO SPURS,96.0
PHILADELPHIA 76ERS,240,34,73,4,6,22,28,6,23,22,6,5,17,25,away,loss,94.0,CHICAGO BULLS,121.0
CHICAGO BULLS,240,48,78,6,13,19,31,10,33,29,7,5,12,24,home,win,121.0,PHILADELPHIA 76ERS,94.0
TORONTO RAPTORS,240,39,85,3,11,10,13,8,29,26,5,5,6,18,away,loss,91.0,CLEVELAND CAVALIERS,95.0
CLEVELAND CAVALIERS,240,38,83,10,24,9,16,12,37,22,3,5,12,15,home,win,95.0,TORONTO RAPTORS,91.0
ATLANTA HAWKS,240,32,77,11,27,23,29,12,27,20,6,5,20,25,away,win,98.0,DENVER NUGGETS,96.0
DENVER NUGGETS,240,38,83,4,15,16,33,17,28,28,9,3,19,27,home,loss,96.0,ATLANTA HAWKS,98.0
ORLANDO MAGIC,240,30,73,1,8,19,26,10,24,12,7,4,14,19,away,loss,80.0,INDIANA PACERS,94.0
INDIANA PACERS,240,37,77,7,16,13,17,13,35,25,9,6,18,21,home,win,94.0,ORLANDO MAGIC,80.0
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,44,92,6,15,11,17,20,29,20,8,3,15,21,away,win,105.0,LOS ANGELES LAKERS,89.0
LOS ANGELES LAKERS,240,36,73,3,19,14,23,5,26,24,9,6,17,19,home,loss,89.0,NEW ORLEANS/OKLAHOMA CITY HORNETS,105.0
PORTLAND TRAIL BLAZERS,265,35,82,9,21,15,18,11,27,23,6,4,16,28,away,loss,94.0,MILWAUKEE BUCKS,102.0
MILWAUKEE BUCKS,265,38,81,3,16,23,28,11,28,22,5,2,11,19,home,win,102.0,PORTLAND TRAIL BLAZERS,94.0
HOUSTON ROCKETS,240,31,89,11,23,11,15,15,33,21,7,4,18,22,away,loss,84.0,MINNESOTA TIMBERWOLVES,90.0
MINNESOTA TIMBERWOLVES,240,35,78,3,13,17,23,5,35,26,10,9,15,18,home,win,90.0,HOUSTON ROCKETS,84.0
WASHINGTON WIZARDS,240,41,84,14,20,17,21,7,27,18,8,6,10,25,away,win,113.0,NEW YORK KNICKS,102.0
NEW YORK KNICKS,240,36,81,4,17,26,39,20,27,17,6,2,16,18,home,loss,102.0,WASHINGTON WIZARDS,113.0
