team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
GOLDEN STATE WARRIORS,240,36,86,4,21,14,21,16,33,13,6,5,17,18,away,loss,90.0,CHARLOTTE BOBCATS,98.0
CHARLOTTE BOBCATS,240,36,83,8,24,18,24,12,30,20,7,7,12,23,home,win,98.0,GOLDEN STATE WARRIORS,90.0
MINNESOTA TIMBERWOLVES,240,36,77,7,15,14,17,11,28,22,5,2,12,22,away,loss,93.0,DALLAS MAVERICKS,94.0
DALLAS MAVERICKS,240,32,77,5,26,25,29,16,30,16,7,4,12,16,home,win,94.0,MINNESOTA TIMBERWOLVES,93.0
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,29,72,10,20,19,23,10,39,22,7,2,15,19,away,win,87.0,HOUSTON ROCKETS,74.0
HOUSTON ROCKETS,240,29,78,7,24,9,14,8,28,16,7,3,12,22,home,loss,74.0,NEW ORLEANS/OKLAHOMA CITY HORNETS,87.0
INDIANA PACERS,240,45,85,4,10,22,32,15,36,18,6,4,15,23,away,win,116.0,MEMPHIS GRIZZLIES,110.0
MEMPHIS GRIZZLIES,240,39,79,11,23,21,28,7,27,23,7,7,13,25,home,loss,110.0,INDIANA PACERS,116.0
MIAMI HEAT,240,45,83,9,17,18,25,14,29,31,10,3,18,21,away,win,117.0,MILWAUKEE BUCKS,98.0
MILWAUKEE BUCKS,240,38,85,4,20,18,25,14,26,17,8,3,18,22,home,loss,98.0,MIAMI HEAT,117.0
NEW YORK KNICKS,240,31,62,5,20,27,41,8,35,17,7,3,18,28,away,win,94.0,ORLANDO MAGIC,86.0
ORLANDO MAGIC,240,29,77,2,16,26,36,16,22,15,8,1,14,27,home,loss,86.0,NEW YORK KNICKS,94.0
UTAH JAZZ,240,44,87,4,15,16,18,16,20,21,9,3,13,26,away,win,108.0,PHOENIX SUNS,105.0
PHOENIX SUNS,240,39,73,8,24,19,27,12,24,22,3,4,16,20,home,loss,105.0,UTAH JAZZ,108.0
CHICAGO BULLS,240,30,70,8,17,20,24,7,35,14,7,3,18,17,away,win,88.0,PORTLAND TRAIL BLAZERS,86.0
PORTLAND TRAIL BLAZERS,240,33,78,4,13,16,21,9,27,14,10,4,13,25,home,loss,86.0,CHICAGO BULLS,88.0
DENVER NUGGETS,240,32,84,10,25,13,20,15,46,21,2,10,21,24,away,loss,87.0,SACRAMENTO KINGS,94.0
SACRAMENTO KINGS,240,36,95,8,23,14,19,8,37,19,14,5,9,18,home,win,94.0,DENVER NUGGETS,87.0
LOS ANGELES LAKERS,240,42,81,10,24,24,27,7,36,23,9,1,12,24,away,win,118.0,WASHINGTON WIZARDS,102.0
WASHINGTON WIZARDS,240,33,91,9,28,27,34,19,26,16,7,4,12,23,home,loss,102.0,LOS ANGELES LAKERS,118.0
