team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
BOSTON CELTICS,240,32,80,4,19,15,23,13,35,17,6,3,18,23,2006-11-22,away,loss,83.0,CHARLOTTE BOBCATS,92.0,0.2857142857142857,0.17391304347826086,48
CHARLOTTE BOBCATS,240,33,79,5,12,21,29,9,35,17,5,2,13,23,2006-11-22,home,win,92.0,BOSTON CELTICS,83.0,0.29464285714285715,0.29411764705882354,44
ATLANTA HAWKS,240,31,72,7,13,29,35,12,31,16,5,3,18,26,2006-11-22,away,loss,98.0,DETROIT PISTONS,103.0,0.30097087378640774,0.35,43
DETROIT PISTONS,240,36,88,7,14,24,29,18,30,16,8,4,8,23,2006-11-22,home,win,103.0,ATLANTA HAWKS,98.0,0.2903225806451613,0.3333333333333333,48
DENVER NUGGETS,240,41,83,5,20,28,36,17,37,21,6,4,24,22,2006-11-22,away,win,115.0,GOLDEN STATE WARRIORS,112.0,0.33064516129032256,0.2,54
GOLDEN STATE WARRIORS,240,42,94,10,29,18,29,12,22,31,12,10,14,30,2006-11-22,home,loss,112.0,DENVER NUGGETS,115.0,0.3088235294117647,0.2564102564102564,34
WASHINGTON WIZARDS,240,28,84,7,15,19,26,12,32,14,13,4,11,19,2006-11-22,away,loss,82.0,HOUSTON ROCKETS,86.0,0.25,0.3181818181818182,44
HOUSTON ROCKETS,240,31,75,10,26,14,19,12,45,18,4,8,20,20,2006-11-22,home,win,86.0,WASHINGTON WIZARDS,82.0,0.29245283018867924,0.2777777777777778,57
SEATTLE SUPERSONICS,240,37,84,5,18,16,19,12,36,21,5,5,9,22,2006-11-22,away,win,95.0,LOS ANGELES CLIPPERS,85.0,0.30578512396694213,0.21739130434782608,48
LOS ANGELES CLIPPERS,240,32,78,3,13,18,26,8,32,18,3,4,11,16,2006-11-22,home,loss,85.0,SEATTLE SUPERSONICS,95.0,0.2909090909090909,0.1875,40
PHILADELPHIA 76ERS,240,34,78,10,17,16,25,11,33,26,7,6,16,35,2006-11-22,away,loss,94.0,MILWAUKEE BUCKS,98.0,0.30357142857142855,0.37037037037037035,44
MILWAUKEE BUCKS,240,32,71,4,13,30,42,12,29,24,4,5,14,26,2006-11-22,home,win,98.0,PHILADELPHIA 76ERS,94.0,0.3106796116504854,0.23529411764705882,41
NEW YORK KNICKS,240,32,73,2,10,23,28,11,25,11,1,1,17,28,2006-11-22,away,loss,89.0,MINNESOTA TIMBERWOLVES,107.0,0.3047619047619048,0.16666666666666666,36
MINNESOTA TIMBERWOLVES,240,38,72,5,9,26,34,7,30,26,9,6,13,22,2006-11-22,home,win,107.0,NEW YORK KNICKS,89.0,0.34545454545454546,0.35714285714285715,37
INDIANA PACERS,240,31,77,5,12,24,29,11,34,17,7,2,19,30,2006-11-22,away,loss,91.0,ORLANDO MAGIC,96.0,0.28703703703703703,0.29411764705882354,45
ORLANDO MAGIC,240,34,69,2,8,26,43,7,34,12,8,5,16,25,2006-11-22,home,win,96.0,INDIANA PACERS,91.0,0.3300970873786408,0.2,41
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,34,85,1,14,14,19,13,27,7,10,1,11,17,2006-11-22,away,loss,83.0,PHOENIX SUNS,92.0,0.2857142857142857,0.06666666666666667,40
PHOENIX SUNS,240,33,70,10,22,16,19,5,36,20,5,5,18,17,2006-11-22,home,win,92.0,NEW ORLEANS/OKLAHOMA CITY HORNETS,83.0,0.32038834951456313,0.3125,41
NEW JERSEY NETS,240,41,76,4,16,11,15,10,27,26,2,4,9,21,2006-11-22,away,loss,97.0,PORTLAND TRAIL BLAZERS,100.0,0.3504273504273504,0.2,37
PORTLAND TRAIL BLAZERS,240,37,78,5,15,21,28,13,19,18,2,3,5,21,2006-11-22,home,win,100.0,NEW JERSEY NETS,97.0,0.3217391304347826,0.25,32
UTAH JAZZ,240,46,84,2,13,16,21,16,32,29,3,6,17,25,2006-11-22,away,win,110.0,SACRAMENTO KINGS,101.0,0.35384615384615387,0.13333333333333333,48
SACRAMENTO KINGS,240,34,80,9,17,24,32,11,23,20,6,6,11,22,2006-11-22,home,loss,101.0,UTAH JAZZ,110.0,0.2982456140350877,0.34615384615384615,34
MIAMI HEAT,240,33,74,3,9,17,24,6,28,15,6,5,15,21,2006-11-22,away,loss,86.0,SAN ANTONIO SPURS,106.0,0.308411214953271,0.25,34
SAN ANTONIO SPURS,240,41,83,9,20,15,19,10,33,22,8,7,16,22,2006-11-22,home,win,106.0,MIAMI HEAT,86.0,0.33064516129032256,0.3103448275862069,43
CLEVELAND CAVALIERS,240,37,94,5,25,8,12,17,29,21,8,4,7,23,2006-11-22,away,loss,87.0,TORONTO RAPTORS,95.0,0.2824427480916031,0.16666666666666666,46
TORONTO RAPTORS,240,32,70,3,17,28,34,9,32,19,2,1,14,17,2006-11-22,home,win,95.0,CLEVELAND CAVALIERS,87.0,0.3137254901960784,0.15,41
