slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
murphtr01,Troy Murphy,INDIANA PACERS,AWAY,SACRAMENTO KINGS,WIN,2081,8,12,4,6,3,3,3,7,6,2,2,1,3,27.4
billuch01,Chauncey Billups,DENVER NUGGETS,AWAY,DETROIT PISTONS,LOSS,2393,11,19,4,8,8,8,0,1,4,0,1,2,4,25.3
lewisra02,Rashard Lewis,ORLANDO MAGIC,HOME,PHOENIX SUNS,WIN,2355,9,16,2,5,9,9,3,9,3,2,1,6,0,25.0
jackja01,Jarrett Jack,INDIANA PACERS,AWAY,SACRAMENTO KINGS,WIN,2413,10,19,0,4,6,6,2,5,3,4,0,0,2,24.9
gasolma01,Marc Gasol,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES LAKERS,LOSS,2065,5,7,0,0,7,7,5,9,4,1,3,1,2,24.4
lopezbr01,Brook Lopez,NEW JERSEY NETS,AWAY,MILWAUKEE BUCKS,WIN,2360,9,12,0,0,6,7,2,10,0,1,3,2,1,23.9
bargnan01,Andrea Bargnani,TORONTO RAPTORS,AWAY,HOUSTON ROCKETS,LOSS,2018,9,14,5,6,2,2,1,6,1,1,3,1,4,22.5
bryanko01,Kobe Bryant,LOS ANGELES LAKERS,HOME,MEMPHIS GRIZZLIES,WIN,1778,12,23,1,5,6,6,0,2,2,1,0,0,3,21.5
landrca01,Carl Landry,HOUSTON ROCKETS,HOME,TORONTO RAPTORS,WIN,1896,7,9,0,0,8,8,0,6,1,0,2,1,1,21.0
villach01,Charlie Villanueva,MILWAUKEE BUCKS,HOME,NEW JERSEY NETS,LOSS,2694,9,22,3,9,3,4,4,11,2,1,2,1,0,20.7
mccanra01,Rashad McCants,SACRAMENTO KINGS,HOME,INDIANA PACERS,LOSS,1817,6,6,3,3,5,6,0,4,1,1,0,0,1,20.3
princta01,Tayshaun Prince,DETROIT PISTONS,HOME,DENVER NUGGETS,WIN,2692,9,15,2,4,3,4,2,2,2,1,3,2,0,20.2
richaja01,Jason Richardson,PHOENIX SUNS,AWAY,ORLANDO MAGIC,LOSS,2425,11,20,4,7,1,2,2,4,2,1,0,1,3,19.8
scolalu01,Luis Scola,HOUSTON ROCKETS,HOME,TORONTO RAPTORS,WIN,1992,10,17,0,0,0,0,5,11,2,0,1,1,1,19.6
jacksst02,Stephen Jackson,GOLDEN STATE WARRIORS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1740,7,16,2,5,7,9,0,7,6,0,0,0,2,19.3
mcdyean01,Antonio McDyess,DETROIT PISTONS,HOME,DENVER NUGGETS,WIN,2260,7,10,0,0,2,2,4,8,2,1,3,1,3,19.3
caldejo01,José Calderón,TORONTO RAPTORS,AWAY,HOUSTON ROCKETS,LOSS,2361,5,10,0,3,0,0,1,3,16,1,1,1,0,18.5
mariosh01,Shawn Marion,TORONTO RAPTORS,AWAY,HOUSTON ROCKETS,LOSS,2542,9,18,0,3,0,0,3,7,4,3,1,1,1,18.3
dienetr01,Travis Diener,INDIANA PACERS,AWAY,SACRAMENTO KINGS,WIN,1266,6,8,5,6,1,1,0,1,3,2,0,1,1,17.8
feltora01,Raymond Felton,CHARLOTTE BOBCATS,HOME,CHICAGO BULLS,WIN,2499,6,11,1,3,5,5,0,4,9,0,0,2,1,17.8
nashst01,Steve Nash,PHOENIX SUNS,AWAY,ORLANDO MAGIC,LOSS,2453,8,14,1,3,3,3,0,7,8,4,0,7,1,17.7
hilarne01,Nenê Hilário,DENVER NUGGETS,AWAY,DETROIT PISTONS,LOSS,2490,9,13,0,1,2,4,4,3,1,2,1,2,4,17.2
onealsh01,Shaquille O'Neal,PHOENIX SUNS,AWAY,ORLANDO MAGIC,LOSS,2124,9,13,0,0,1,3,6,5,0,3,2,4,4,17.2
