slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
randoza01,Zach Randolph,PORTLAND TRAIL BLAZERS,HOME,ATLANTA HAWKS,WIN,1906,13,17,0,0,5,6,3,9,1,0,1,0,2,29.3
garneke01,Kevin Garnett,MINNESOTA TIMBERWOLVES,AWAY,SEATTLE SUPERSONICS,LOSS,2550,10,19,0,0,11,13,4,10,4,1,2,2,4,28.3
kirilan01,Andrei Kirilenko,UTAH JAZZ,HOME,BOSTON CELTICS,LOSS,2108,7,13,1,2,14,15,3,2,1,2,2,0,3,27.9
allenra02,Ray Allen,SEATTLE SUPERSONICS,HOME,MINNESOTA TIMBERWOLVES,WIN,2523,10,22,4,6,8,9,1,3,6,3,1,1,3,27.5
jacksst02,Stephen Jackson,INDIANA PACERS,HOME,CLEVELAND CAVALIERS,WIN,2166,11,19,3,7,3,4,1,4,4,2,0,0,0,25.4
boshch01,Chris Bosh,TORONTO RAPTORS,AWAY,MILWAUKEE BUCKS,WIN,2158,8,14,0,0,11,12,2,6,2,1,1,1,4,23.7
arenagi01,Gilbert Arenas,WASHINGTON WIZARDS,AWAY,CHICAGO BULLS,LOSS,2648,15,33,0,7,6,8,1,4,7,3,2,5,2,23.5
princta01,Tayshaun Prince,DETROIT PISTONS,AWAY,LOS ANGELES LAKERS,WIN,2326,10,15,2,3,4,4,2,2,1,1,0,1,1,21.8
hinriki01,Kirk Hinrich,CHICAGO BULLS,HOME,WASHINGTON WIZARDS,WIN,2302,9,21,5,12,3,4,0,5,6,3,1,1,5,20.9
willima01,Mo Williams,MILWAUKEE BUCKS,HOME,TORONTO RAPTORS,LOSS,2125,8,12,1,2,4,4,2,2,7,1,0,2,3,20.5
cardibr01,Brian Cardinal,MEMPHIS GRIZZLIES,HOME,DENVER NUGGETS,LOSS,2620,10,20,5,10,3,4,1,6,3,3,0,3,5,20.2
hamilri01,Richard Hamilton,DETROIT PISTONS,AWAY,LOS ANGELES LAKERS,WIN,2529,7,13,0,2,4,5,0,3,8,3,1,1,1,20.1
ilgauzy01,Zydrunas Ilgauskas,CLEVELAND CAVALIERS,AWAY,INDIANA PACERS,LOSS,2335,8,18,0,0,4,6,10,5,0,1,4,1,4,19.5
krstine01,Nenad Krstić,NEW JERSEY NETS,HOME,CHARLOTTE BOBCATS,WIN,1697,9,12,0,0,7,7,2,3,0,0,1,2,6,18.8
smithjo02,Joe Smith,MILWAUKEE BUCKS,HOME,TORONTO RAPTORS,LOSS,1784,8,13,0,0,4,6,6,8,0,0,0,0,4,18.3
wallage01,Gerald Wallace,CHARLOTTE BOBCATS,AWAY,NEW JERSEY NETS,LOSS,1925,8,14,0,0,7,9,0,1,2,3,2,3,2,17.9
