slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
jefferi01,Richard Jefferson,NEW JERSEY NETS,AWAY,TORONTO RAPTORS,LOSS,2826,12,20,3,7,11,11,0,4,5,2,0,5,2,29.7
jonesed02,Eddie Jones,MIAMI HEAT,HOME,ORLANDO MAGIC,WIN,2342,8,10,4,5,5,5,0,3,3,1,0,2,2,22.4
francst01,Steve Francis,ORLANDO MAGIC,AWAY,MIAMI HEAT,LOSS,2412,13,23,1,3,4,8,0,4,3,2,1,2,2,21.7
onealsh01,Shaquille O'Neal,MIAMI HEAT,HOME,ORLANDO MAGIC,WIN,2364,12,18,0,0,3,5,1,5,5,1,1,3,3,21.6
gasolpa01,Pau Gasol,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES CLIPPERS,WIN,2268,6,11,0,0,8,9,4,4,3,1,2,1,2,21.0
millebr01,Brad Miller,SACRAMENTO KINGS,HOME,NEW ORLEANS HORNETS,WIN,1934,6,9,1,1,4,4,3,6,6,0,1,1,3,19.7
harprma01,Matt Harpring,UTAH JAZZ,AWAY,NEW YORK KNICKS,LOSS,2366,8,16,0,1,5,7,3,5,2,3,0,1,1,18.8
marbust01,Stephon Marbury,NEW YORK KNICKS,HOME,UTAH JAZZ,WIN,2679,5,12,0,2,9,9,0,1,12,1,0,3,2,18.5
okurme01,Mehmet Okur,UTAH JAZZ,AWAY,NEW YORK KNICKS,LOSS,1956,5,7,1,1,2,2,5,9,2,1,1,0,3,18.2
crawfja01,Jamal Crawford,NEW YORK KNICKS,HOME,UTAH JAZZ,WIN,2271,7,16,3,8,7,7,0,3,2,3,0,2,3,17.7
murrala01,Lamond Murray,TORONTO RAPTORS,HOME,NEW JERSEY NETS,WIN,1116,4,5,3,3,7,8,0,1,1,1,0,0,1,17.3
petermo01,Morris Peterson,TORONTO RAPTORS,HOME,NEW JERSEY NETS,WIN,2228,8,11,4,4,0,0,1,5,2,0,0,1,2,17.3
willija02,Jason Williams,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES CLIPPERS,WIN,1867,6,11,3,7,2,2,1,1,7,1,0,1,1,17.2
moblecu01,Cuttino Mobley,ORLANDO MAGIC,AWAY,MIAMI HEAT,LOSS,1971,8,13,3,4,3,4,0,2,1,0,1,1,4,15.1
krstine01,Nenad Krstić,NEW JERSEY NETS,AWAY,TORONTO RAPTORS,LOSS,1674,6,8,0,0,3,4,2,2,4,0,1,1,5,13.9
stojape01,Peja Stojaković,SACRAMENTO KINGS,HOME,NEW ORLEANS HORNETS,WIN,1856,7,14,3,8,4,4,0,2,2,0,0,2,1,13.6
bellra01,Raja Bell,UTAH JAZZ,AWAY,NEW YORK KNICKS,LOSS,2430,9,15,2,3,0,0,1,3,2,2,0,3,4,13.5
roseja01,Jalen Rose,TORONTO RAPTORS,HOME,NEW JERSEY NETS,WIN,1791,7,10,2,3,1,2,0,1,4,0,0,1,3,13.3
brandel01,Elton Brand,LOS ANGELES CLIPPERS,HOME,MEMPHIS GRIZZLIES,LOSS,2382,9,18,0,0,1,1,2,10,3,1,2,5,2,13.1
wadedw01,Dwyane Wade,MIAMI HEAT,HOME,ORLANDO MAGIC,WIN,2404,6,20,0,1,10,11,2,3,4,2,0,2,5,13.1
