slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
bryanko01,Kobe Bryant,LOS ANGELES LAKERS,HOME,MINNESOTA TIMBERWOLVES,WIN,2673,17,35,4,9,12,14,1,5,3,3,0,3,1,35.4
kiddja01,Jason Kidd,NEW JERSEY NETS,HOME,LOS ANGELES CLIPPERS,WIN,2375,7,13,3,4,6,6,1,5,13,6,0,3,2,30.2
lewisra02,Rashard Lewis,SEATTLE SUPERSONICS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2302,8,13,3,5,8,11,3,9,4,1,2,1,1,28.5
garneke01,Kevin Garnett,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES LAKERS,LOSS,2561,9,16,1,2,7,8,3,12,6,0,3,2,1,27.6
davisri01,Ricky Davis,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES LAKERS,LOSS,2505,11,21,4,8,7,7,2,4,6,1,0,2,3,27.3
parkesm01,Smush Parker,LOS ANGELES LAKERS,HOME,MINNESOTA TIMBERWOLVES,WIN,2173,8,10,3,4,0,0,4,3,9,0,0,3,1,21.8
nowitdi01,Dirk Nowitzki,DALLAS MAVERICKS,AWAY,DETROIT PISTONS,WIN,2599,11,20,2,3,4,5,2,10,2,0,1,2,3,21.3
balkmre01,Renaldo Balkman,NEW YORK KNICKS,HOME,TORONTO RAPTORS,WIN,1962,7,7,0,0,1,6,4,8,1,3,2,0,2,20.4
collini01,Nick Collison,SEATTLE SUPERSONICS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1674,6,7,0,0,4,4,2,9,3,1,2,1,3,19.9
marbust01,Stephon Marbury,NEW YORK KNICKS,HOME,TORONTO RAPTORS,WIN,2114,7,15,2,5,5,6,1,2,9,1,0,2,2,18.7
mcgratr01,Tracy McGrady,HOUSTON ROCKETS,AWAY,PHILADELPHIA 76ERS,WIN,1685,7,17,3,5,4,4,1,3,8,1,0,1,2,18.3
cartevi01,Vince Carter,NEW JERSEY NETS,HOME,LOS ANGELES CLIPPERS,WIN,2357,10,20,1,2,1,1,1,3,4,3,0,0,3,18.2
wilcoch01,Chris Wilcox,SEATTLE SUPERSONICS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2375,8,16,0,0,10,13,1,8,0,0,0,1,2,18.1
harride01,Devin Harris,DALLAS MAVERICKS,AWAY,DETROIT PISTONS,WIN,2022,6,10,1,1,9,10,0,2,3,3,0,4,2,17.9
mingya01,Yao Ming,HOUSTON ROCKETS,AWAY,PHILADELPHIA 76ERS,WIN,1612,10,18,0,0,4,5,3,7,1,0,1,2,3,17.4
fryech01,Channing Frye,NEW YORK KNICKS,HOME,TORONTO RAPTORS,WIN,2531,10,15,0,0,0,0,1,6,1,3,0,2,3,16.5
boshch01,Chris Bosh,TORONTO RAPTORS,AWAY,NEW YORK KNICKS,LOSS,2381,7,12,0,0,7,8,2,5,0,0,1,1,3,16.4
brandel01,Elton Brand,LOS ANGELES CLIPPERS,AWAY,NEW JERSEY NETS,LOSS,2358,8,14,0,0,1,2,5,4,6,0,2,2,5,16.3
maggeco01,Corey Maggette,LOS ANGELES CLIPPERS,AWAY,NEW JERSEY NETS,LOSS,2187,7,10,1,1,8,9,0,9,3,2,0,7,5,16.2
jamesmi01,Mike James,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES LAKERS,LOSS,1978,6,14,1,4,5,7,0,0,11,1,0,1,5,15.5
murraro01,Ronald Murray,DETROIT PISTONS,HOME,DALLAS MAVERICKS,LOSS,2508,7,15,1,4,3,4,0,1,6,4,0,2,3,15.2
turkohe01,Hedo Türkoğlu,ORLANDO MAGIC,AWAY,MIAMI HEAT,WIN,2126,8,18,2,4,2,2,1,2,4,2,1,1,3,15.2
howarju01,Juwan Howard,HOUSTON ROCKETS,AWAY,PHILADELPHIA 76ERS,WIN,1425,5,6,0,0,1,1,3,7,5,0,0,1,1,15.1
odomla01,Lamar Odom,LOS ANGELES LAKERS,HOME,MINNESOTA TIMBERWOLVES,WIN,2424,7,12,0,4,2,4,0,9,8,0,2,3,3,15.1
waltolu01,Luke Walton,LOS ANGELES LAKERS,HOME,MINNESOTA TIMBERWOLVES,WIN,2160,4,9,1,4,1,2,2,6,11,3,0,3,3,14.6
moblecu01,Cuttino Mobley,LOS ANGELES CLIPPERS,AWAY,NEW JERSEY NETS,LOSS,2621,9,20,5,9,4,4,1,5,1,1,0,5,3,14.3
mcdyean01,Antonio McDyess,DETROIT PISTONS,HOME,DALLAS MAVERICKS,LOSS,1229,7,10,0,0,3,4,1,5,1,0,0,0,5,13.3
poseyja01,James Posey,MIAMI HEAT,HOME,ORLANDO MAGIC,LOSS,2185,5,9,2,5,2,2,3,4,1,1,0,1,1,13.3
hayesch01,Chuck Hayes,HOUSTON ROCKETS,AWAY,PHILADELPHIA 76ERS,WIN,1210,6,8,0,0,0,0,3,10,1,0,0,0,4,13.0
milicda01,Darko Miličić,ORLANDO MAGIC,AWAY,MIAMI HEAT,WIN,1551,4,6,0,0,4,4,3,7,0,0,2,1,4,12.4
onealsh01,Shaquille O'Neal,MIAMI HEAT,HOME,ORLANDO MAGIC,LOSS,2021,6,10,0,0,8,11,0,4,0,0,0,1,5,12.4
dalemsa01,Samuel Dalembert,PHILADELPHIA 76ERS,HOME,HOUSTON ROCKETS,LOSS,1459,4,7,0,0,4,4,1,3,1,1,2,0,3,12.2
howardw01,Dwight Howard,ORLANDO MAGIC,AWAY,MIAMI HEAT,WIN,2048,6,6,0,0,5,10,4,7,0,0,1,5,4,12.2
headlu01,Luther Head,HOUSTON ROCKETS,AWAY,PHILADELPHIA 76ERS,WIN,1297,5,13,3,8,0,0,0,1,4,3,0,0,0,12.0
alstora01,Rafer Alston,HOUSTON ROCKETS,AWAY,PHILADELPHIA 76ERS,WIN,2009,3,7,3,4,0,0,0,3,6,1,0,0,0,11.4
webbech01,Chris Webber,DETROIT PISTONS,HOME,DALLAS MAVERICKS,LOSS,1896,4,8,0,0,2,3,1,4,3,3,1,1,3,11.1
magloja01,Jamaal Magloire,PORTLAND TRAIL BLAZERS,HOME,SEATTLE SUPERSONICS,LOSS,1446,4,7,0,0,3,4,5,7,2,0,1,2,5,11.0
roybr01,Brandon Roy,PORTLAND TRAIL BLAZERS,HOME,SEATTLE SUPERSONICS,LOSS,2396,6,13,0,1,2,2,0,3,5,0,0,0,2,10.9
terryja01,Jason Terry,DALLAS MAVERICKS,AWAY,DETROIT PISTONS,WIN,2641,5,11,0,2,2,2,0,6,6,1,0,2,2,10.5
thomati01,Tim Thomas,LOS ANGELES CLIPPERS,AWAY,NEW JERSEY NETS,LOSS,1799,5,11,2,4,0,0,1,5,4,2,0,1,5,10.3
wallara01,Rasheed Wallace,DETROIT PISTONS,HOME,DALLAS MAVERICKS,LOSS,2435,6,15,0,4,1,1,2,4,3,1,3,2,2,9.9
jefferi01,Richard Jefferson,NEW JERSEY NETS,HOME,LOS ANGELES CLIPPERS,WIN,2317,5,15,2,4,6,11,0,12,1,0,0,1,3,9.6
willilo02,Lou Williams,PHILADELPHIA 76ERS,HOME,HOUSTON ROCKETS,LOSS,1370,5,10,0,0,2,2,0,4,2,1,0,1,0,9.6
kamanch01,Chris Kaman,LOS ANGELES CLIPPERS,AWAY,NEW JERSEY NETS,LOSS,1862,3,10,0,0,4,5,1,7,0,1,3,0,1,9.3
jeffrja01,Jared Jeffries,NEW YORK KNICKS,HOME,TORONTO RAPTORS,WIN,1864,3,6,0,2,2,3,1,9,2,1,0,0,3,9.2
korveky01,Kyle Korver,PHILADELPHIA 76ERS,HOME,HOUSTON ROCKETS,LOSS,1518,7,15,3,5,0,0,1,2,0,0,0,1,1,9.2
mooremi01,Mikki Moore,NEW JERSEY NETS,HOME,LOS ANGELES CLIPPERS,WIN,1689,2,5,0,0,9,13,2,4,2,0,0,2,4,9.1
stackje01,Jerry Stackhouse,DALLAS MAVERICKS,AWAY,DETROIT PISTONS,WIN,1585,2,6,1,2,7,8,0,2,2,0,0,1,2,8.4
redicjj01,J.J. Redick,ORLANDO MAGIC,AWAY,MIAMI HEAT,WIN,1230,4,8,2,4,0,0,1,1,1,1,0,0,1,8.3
robinna01,Nate Robinson,NEW YORK KNICKS,HOME,TORONTO RAPTORS,WIN,1605,6,17,0,3,0,0,2,3,2,2,1,0,2,8.1
francst01,Steve Francis,NEW YORK KNICKS,HOME,TORONTO RAPTORS,WIN,2265,3,11,2,5,1,2,0,3,8,2,1,3,2,7.5
princta01,Tayshaun Prince,DETROIT PISTONS,HOME,DALLAS MAVERICKS,LOSS,2535,5,12,0,1,2,2,1,5,2,0,0,1,2,7.4
randoza01,Zach Randolph,PORTLAND TRAIL BLAZERS,HOME,SEATTLE SUPERSONICS,LOSS,1884,7,17,0,2,2,2,1,7,4,0,1,5,2,7.4
wrighdo01,Dorell Wright,MIAMI HEAT,HOME,ORLANDO MAGIC,LOSS,1724,4,11,0,1,0,0,2,6,1,2,2,1,2,7.4
nelsoja01,Jameer Nelson,ORLANDO MAGIC,AWAY,MIAMI HEAT,WIN,1808,4,11,0,0,3,3,1,2,6,0,0,2,3,7.2
snydeki01,Kirk Snyder,HOUSTON ROCKETS,AWAY,PHILADELPHIA 76ERS,WIN,1195,3,6,0,2,2,2,0,0,2,0,2,0,2,7.0
arizatr01,Trevor Ariza,ORLANDO MAGIC,AWAY,MIAMI HEAT,WIN,1014,3,5,0,0,2,2,0,2,1,0,0,0,1,6.6
brownkw01,Kwame Brown,LOS ANGELES LAKERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1638,2,2,0,0,0,0,1,4,2,2,1,2,2,6.6
quinnch01,Chris Quinn,MIAMI HEAT,HOME,ORLANDO MAGIC,LOSS,871,2,4,0,1,1,2,0,0,4,2,0,0,2,6.6
ridnolu01,Luke Ridnour,SEATTLE SUPERSONICS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1356,1,6,1,4,2,2,1,2,5,2,0,1,1,6.6
