team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SAN ANTONIO SPURS,240,34,78,9,17,26,36,11,40,23,5,7,14,21
ATLANTA HAWKS,240,33,84,5,10,17,24,12,37,15,10,0,12,28
GOLDEN STATE WARRIORS,240,41,78,2,9,19,22,9,35,26,7,2,14,22
CHARLOTTE BOBCATS,240,35,82,3,10,14,21,13,23,18,6,5,14,27
LOS ANGELES CLIPPERS,240,31,74,3,6,32,40,8,33,24,8,4,11,22
CHICAGO BULLS,240,35,82,7,15,19,31,12,34,24,5,2,11,30
WASHINGTON WIZARDS,240,29,87,5,9,11,14,9,23,15,7,9,13,19
CLEVELAND CAVALIERS,240,43,90,2,9,17,19,15,47,31,10,6,14,16
LOS ANGELES LAKERS,240,29,71,4,19,22,29,9,36,15,3,7,16,22
HOUSTON ROCKETS,240,27,78,6,20,19,23,9,33,21,10,2,13,25
NEW YORK KNICKS,240,35,88,5,10,22,28,19,30,15,8,7,16,29
INDIANA PACERS,240,34,75,7,16,28,33,8,34,25,9,12,15,22
NEW ORLEANS HORNETS,240,40,88,8,16,3,3,12,31,26,2,0,14,21
MILWAUKEE BUCKS,240,35,84,7,15,17,21,11,27,21,5,2,8,15
DALLAS MAVERICKS,240,35,78,5,15,19,29,11,27,18,12,6,9,25
NEW JERSEY NETS,240,24,69,6,15,24,31,16,29,11,5,5,20,24
SACRAMENTO KINGS,240,43,87,7,15,20,22,13,21,24,10,3,8,20
PHOENIX SUNS,240,41,81,9,24,20,22,15,27,15,4,9,17,21
TORONTO RAPTORS,240,40,84,7,16,15,19,13,25,23,8,2,13,25
PORTLAND TRAIL BLAZERS,240,39,81,5,11,22,28,17,28,20,7,4,16,20
DETROIT PISTONS,240,36,72,3,10,18,19,11,20,22,8,3,12,26
UTAH JAZZ,240,41,70,4,9,22,28,12,23,29,6,3,14,19
