team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MEMPHIS GRIZZLIES,240,28,76,8,30,24,30,7,30,19,14,6,19,28
BOSTON CELTICS,240,29,65,4,11,28,38,9,34,17,10,6,22,26
DENVER NUGGETS,240,31,74,1,8,25,29,9,30,14,9,9,16,21
CHARLOTTE BOBCATS,240,38,85,5,14,13,21,14,30,18,10,5,18,24
ATLANTA HAWKS,240,39,91,1,7,10,15,20,24,20,5,7,14,15
CLEVELAND CAVALIERS,240,45,94,6,12,15,19,22,29,34,9,11,9,13
PORTLAND TRAIL BLAZERS,240,35,80,5,14,12,19,12,32,17,3,14,13,21
INDIANA PACERS,240,32,89,8,30,23,26,17,29,22,8,7,7,21
LOS ANGELES CLIPPERS,240,34,80,2,9,25,28,14,26,16,4,5,16,26
MIAMI HEAT,240,40,75,8,15,25,33,9,25,27,4,11,8,24
SACRAMENTO KINGS,240,34,81,2,11,15,18,4,33,24,7,6,9,15
NEW JERSEY NETS,240,36,84,8,16,16,17,9,39,24,7,3,8,20
SAN ANTONIO SPURS,240,40,88,7,14,14,18,19,32,27,9,7,9,19
NEW ORLEANS HORNETS,240,30,68,4,12,14,23,5,25,20,5,12,13,16
MILWAUKEE BUCKS,240,33,78,5,18,19,28,14,24,16,7,1,14,14
NEW YORK KNICKS,240,42,75,6,13,18,19,9,32,25,11,1,15,22
DETROIT PISTONS,240,36,72,9,17,12,24,6,43,25,10,4,17,21
PHILADELPHIA 76ERS,240,32,82,1,15,10,16,9,33,17,10,0,17,18
GOLDEN STATE WARRIORS,240,46,87,11,21,14,22,11,29,28,5,2,11,27
SEATTLE SUPERSONICS,240,39,79,4,16,28,36,11,30,17,9,7,10,21
CHICAGO BULLS,240,44,76,11,15,22,26,7,29,24,6,5,20,25
TORONTO RAPTORS,240,38,74,11,22,28,32,5,20,24,12,2,14,24
