team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PHILADELPHIA 76ERS,240,33,80,5,17,21,23,9,33,15,4,5,14,26
ATLANTA HAWKS,240,31,85,4,21,30,40,19,33,15,4,5,13,21
SAN ANTONIO SPURS,240,33,79,10,19,15,20,13,38,25,7,3,19,18
CHICAGO BULLS,240,30,77,3,12,12,15,8,30,19,8,7,17,20
DETROIT PISTONS,240,38,79,5,14,20,27,12,37,20,7,5,11,23
DALLAS MAVERICKS,240,30,90,3,21,22,29,14,29,15,5,6,9,21
ORLANDO MAGIC,240,37,77,5,13,23,35,11,26,20,9,0,20,30
DENVER NUGGETS,240,42,86,2,8,29,34,16,32,27,9,3,15,25
BOSTON CELTICS,240,38,83,5,11,25,33,13,33,25,6,4,20,28
GOLDEN STATE WARRIORS,240,42,90,3,8,23,31,12,31,26,9,5,12,26
CHARLOTTE BOBCATS,290,37,98,7,13,12,17,16,23,24,14,4,12,25
LOS ANGELES CLIPPERS,290,36,76,1,6,26,29,11,38,25,8,7,23,19
TORONTO RAPTORS,240,28,78,9,19,21,27,6,30,20,9,6,12,19
NEW JERSEY NETS,240,35,91,3,7,15,20,19,42,26,8,4,15,26
MIAMI HEAT,240,34,66,9,16,23,36,6,35,27,3,3,13,25
UTAH JAZZ,240,28,72,1,9,23,29,9,31,23,6,1,14,31
