team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
GOLDEN STATE WARRIORS,240,34,81,5,14,18,24,10,27,20,7,3,11,20
LOS ANGELES CLIPPERS,240,41,77,4,10,17,22,9,39,29,8,2,17,21
NEW ORLEANS HORNETS,240,27,80,3,9,19,22,14,26,15,7,6,14,24
LOS ANGELES LAKERS,240,30,75,8,25,21,22,11,29,21,8,3,18,21
BOSTON CELTICS,240,33,81,4,13,34,38,6,42,18,6,4,11,28
MIAMI HEAT,240,39,86,7,19,21,31,9,38,24,6,9,9,29
NEW JERSEY NETS,240,29,77,2,11,11,18,10,30,16,4,6,11,26
PORTLAND TRAIL BLAZERS,240,28,79,4,14,23,31,16,35,14,7,7,12,22
MINNESOTA TIMBERWOLVES,240,44,90,9,15,24,28,12,39,22,5,12,14,27
SACRAMENTO KINGS,240,41,89,5,11,23,32,9,28,24,7,5,8,22
INDIANA PACERS,240,33,76,10,24,19,28,9,20,18,5,5,4,18
SEATTLE SUPERSONICS,240,36,73,11,22,20,24,10,30,24,2,6,11,24
WASHINGTON WIZARDS,265,43,87,5,17,23,30,9,33,26,5,4,13,15
TORONTO RAPTORS,265,47,94,7,20,8,13,7,33,26,6,3,15,28
