team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
INDIANA PACERS,240,27,59,4,13,26,32,5,35,12,1,2,11,17
ATLANTA HAWKS,240,33,83,4,11,9,18,14,27,19,6,1,6,27
ORLANDO MAGIC,240,37,75,4,11,14,23,11,28,27,7,4,20,24
CLEVELAND CAVALIERS,240,35,82,3,14,28,31,16,28,23,11,0,14,22
GOLDEN STATE WARRIORS,240,33,86,5,19,20,24,12,29,19,10,4,14,24
DENVER NUGGETS,240,38,77,7,15,24,28,9,37,28,7,7,19,22
CHICAGO BULLS,240,37,86,5,17,18,27,9,37,13,5,2,15,27
MIAMI HEAT,240,39,79,5,13,25,40,6,38,24,6,8,13,26
DETROIT PISTONS,240,28,69,2,7,27,33,9,26,18,4,6,20,17
NEW JERSEY NETS,240,43,79,3,7,18,23,7,32,30,8,6,10,27
NEW YORK KNICKS,240,42,99,8,16,14,17,17,35,14,4,2,10,26
PHOENIX SUNS,240,43,89,5,20,23,27,9,33,25,6,4,10,16
SACRAMENTO KINGS,240,39,96,9,19,21,27,21,18,30,12,2,11,19
PORTLAND TRAIL BLAZERS,240,43,78,4,10,24,27,8,32,27,6,9,15,20
CHARLOTTE BOBCATS,240,40,82,5,13,14,19,10,25,18,6,6,14,19
SEATTLE SUPERSONICS,240,38,77,14,26,23,30,11,31,22,8,6,11,20
NEW ORLEANS HORNETS,240,30,72,12,23,20,23,13,19,18,7,1,18,32
UTAH JAZZ,240,35,66,5,12,33,41,8,29,24,9,7,13,23
MILWAUKEE BUCKS,240,34,70,3,9,23,27,10,25,17,5,1,23,28
WASHINGTON WIZARDS,240,42,85,4,13,24,32,13,27,24,13,2,12,25
