team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SAN ANTONIO SPURS,240,34,72,8,21,16,27,4,25,27,7,8,12,21
BOSTON CELTICS,240,31,76,3,11,19,23,12,32,18,5,2,14,22
NEW YORK KNICKS,240,38,89,8,25,17,20,11,31,20,7,6,13,23
DALLAS MAVERICKS,240,41,85,2,13,19,27,14,32,15,7,4,13,16
CHICAGO BULLS,240,32,76,3,14,14,19,6,33,23,5,2,22,28
DENVER NUGGETS,240,34,72,5,15,26,31,4,34,19,10,5,16,25
INDIANA PACERS,240,29,70,9,20,30,35,9,28,19,15,1,10,21
DETROIT PISTONS,240,29,74,4,16,20,22,12,30,17,4,7,15,22
UTAH JAZZ,265,29,75,3,6,44,52,11,41,19,4,5,18,33
MIAMI HEAT,265,39,86,7,17,22,44,12,29,21,9,9,8,35
LOS ANGELES LAKERS,240,37,81,14,25,14,21,13,34,17,2,4,13,22
PHOENIX SUNS,240,42,92,7,28,16,21,15,29,24,2,7,6,17
MILWAUKEE BUCKS,240,41,85,2,11,14,23,18,21,22,10,0,17,27
PORTLAND TRAIL BLAZERS,240,35,79,10,18,30,33,20,32,20,12,3,21,27
MEMPHIS GRIZZLIES,240,38,75,9,21,20,28,11,34,19,3,3,19,28
SACRAMENTO KINGS,240,36,76,5,17,30,37,8,23,28,9,5,9,24
SEATTLE SUPERSONICS,240,34,79,10,19,23,30,11,33,22,8,2,13,22
TORONTO RAPTORS,240,34,79,7,20,19,24,9,25,20,9,4,15,26
