team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
WASHINGTON WIZARDS,240,35,81,4,17,27,41,18,30,13,7,2,14,18
BOSTON CELTICS,240,42,95,9,23,12,17,17,31,25,10,6,12,29
INDIANA PACERS,240,26,68,3,14,31,37,11,23,18,2,5,13,25
CLEVELAND CAVALIERS,240,36,86,1,9,25,32,21,25,17,3,7,5,27
PHOENIX SUNS,240,41,89,5,18,19,28,16,42,20,3,5,13,17
DENVER NUGGETS,240,37,93,9,21,18,26,9,32,25,11,4,6,22
UTAH JAZZ,240,24,74,1,7,13,17,14,34,18,6,7,16,20
DETROIT PISTONS,240,23,73,1,18,17,21,13,30,12,9,11,13,17
CHICAGO BULLS,240,31,90,8,22,8,10,17,29,19,11,5,14,27
LOS ANGELES CLIPPERS,240,30,71,0,3,23,31,11,38,24,9,4,15,17
DALLAS MAVERICKS,240,39,87,4,12,20,29,11,34,22,6,2,5,27
MINNESOTA TIMBERWOLVES,240,33,72,3,13,24,31,5,41,24,2,5,14,25
SEATTLE SUPERSONICS,240,33,73,7,23,17,22,11,31,16,5,5,17,22
NEW YORK KNICKS,240,24,77,6,21,26,30,14,25,14,7,2,11,25
NEW JERSEY NETS,240,35,73,5,10,23,32,8,31,19,13,2,11,18
ORLANDO MAGIC,240,31,81,7,16,13,13,10,30,21,5,2,20,27
HOUSTON ROCKETS,240,43,81,8,18,17,19,15,32,26,8,5,17,22
SACRAMENTO KINGS,240,38,94,11,29,9,18,23,17,28,11,3,14,17
PHILADELPHIA 76ERS,240,47,91,10,25,6,8,14,27,30,6,2,15,13
TORONTO RAPTORS,240,47,95,21,34,13,15,18,27,32,9,3,11,11
