team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
GOLDEN STATE WARRIORS,240,34,78,4,14,11,20,12,35,22,7,5,12,18
BOSTON CELTICS,240,35,80,5,14,9,16,12,35,24,6,3,12,23
MINNESOTA TIMBERWOLVES,240,33,84,4,19,14,17,15,32,22,1,1,17,25
CHARLOTTE BOBCATS,240,37,84,4,10,24,30,14,30,23,12,5,5,17
ATLANTA HAWKS,240,32,78,4,16,17,25,15,23,18,3,1,13,22
CLEVELAND CAVALIERS,240,40,81,5,15,16,18,16,27,26,4,5,9,21
LOS ANGELES LAKERS,240,36,91,11,34,21,27,20,28,25,3,7,10,24
DALLAS MAVERICKS,240,46,83,6,17,20,29,8,34,22,8,6,8,24
PHOENIX SUNS,240,39,85,15,34,15,20,13,37,22,5,2,10,19
HOUSTON ROCKETS,240,38,97,8,28,14,20,18,32,24,5,2,9,17
PORTLAND TRAIL BLAZERS,240,38,81,8,21,14,23,13,24,20,7,9,14,20
LOS ANGELES CLIPPERS,240,41,85,2,5,18,20,19,24,27,8,4,13,16
NEW YORK KNICKS,240,38,75,3,8,15,22,8,24,15,9,5,15,20
MIAMI HEAT,240,42,86,2,13,16,23,15,29,25,10,5,11,18
NEW JERSEY NETS,240,29,83,2,14,14,16,13,26,18,9,2,17,23
MILWAUKEE BUCKS,240,35,65,3,9,24,34,5,34,28,10,4,15,19
CHICAGO BULLS,240,32,72,3,14,28,34,11,34,16,4,7,21,21
NEW ORLEANS HORNETS,240,30,82,9,27,20,30,7,26,19,10,5,10,24
SEATTLE SUPERSONICS,240,28,80,9,31,22,24,14,22,12,10,5,13,20
ORLANDO MAGIC,240,43,84,6,12,13,16,17,35,21,8,5,17,18
SACRAMENTO KINGS,240,34,86,4,12,21,33,17,38,21,9,4,15,21
TORONTO RAPTORS,240,36,92,7,24,17,22,16,38,22,8,3,11,24
PHILADELPHIA 76ERS,240,36,78,5,15,29,33,10,25,20,10,3,8,21
UTAH JAZZ,240,38,74,2,10,21,28,10,30,23,4,3,16,29
