team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MEMPHIS GRIZZLIES,240,33,76,9,16,17,30,16,24,22,12,4,16,25
LOS ANGELES CLIPPERS,240,30,68,2,9,20,27,9,33,21,9,8,21,26
ORLANDO MAGIC,240,40,78,6,10,21,27,9,27,12,5,5,11,21
MIAMI HEAT,240,43,83,8,17,23,27,7,27,24,5,1,9,20
UTAH JAZZ,240,33,72,3,5,24,36,17,27,16,7,3,15,22
NEW YORK KNICKS,240,32,71,6,16,24,27,8,21,20,8,0,12,23
NEW ORLEANS HORNETS,240,25,77,3,12,18,26,15,19,18,12,1,19,24
SACRAMENTO KINGS,240,39,75,9,23,20,24,12,34,30,10,6,17,19
NEW JERSEY NETS,240,36,69,7,21,20,29,4,24,23,6,2,12,25
TORONTO RAPTORS,240,37,69,14,23,22,27,6,22,26,6,2,11,27
