team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MINNESOTA TIMBERWOLVES,240,42,78,3,13,12,15,9,27,28,9,2,11,15
BOSTON CELTICS,240,43,79,4,9,7,9,7,24,27,6,7,12,14
MIAMI HEAT,240,41,92,7,19,13,20,20,35,26,7,5,14,18
CLEVELAND CAVALIERS,240,32,80,0,8,18,26,13,27,20,8,6,12,19
DALLAS MAVERICKS,240,29,78,3,14,8,14,6,31,13,12,4,16,17
HOUSTON ROCKETS,240,34,80,4,12,18,25,15,39,24,7,5,18,17
INDIANA PACERS,240,35,84,9,29,15,18,11,23,24,9,0,9,26
LOS ANGELES LAKERS,240,33,71,4,11,33,37,11,36,19,3,1,12,17
TORONTO RAPTORS,240,34,73,10,21,17,20,8,32,21,9,5,13,19
NEW ORLEANS HORNETS,240,32,84,4,19,16,18,12,31,21,6,5,14,19
GOLDEN STATE WARRIORS,240,36,78,12,26,15,24,9,21,20,4,5,8,18
NEW YORK KNICKS,240,47,76,5,12,16,22,8,33,31,5,2,14,22
DETROIT PISTONS,240,34,87,6,16,11,24,17,28,26,8,5,15,21
SACRAMENTO KINGS,240,41,83,6,11,12,13,11,35,25,8,6,15,21
UTAH JAZZ,240,36,78,6,13,16,24,13,29,19,6,8,13,29
SAN ANTONIO SPURS,240,33,70,6,17,29,32,8,24,25,5,10,10,23
PHOENIX SUNS,240,40,86,10,17,20,30,12,29,20,7,3,8,20
SEATTLE SUPERSONICS,240,38,91,3,27,20,24,14,31,12,5,3,10,23
