team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MILWAUKEE BUCKS,240,33,72,4,11,15,25,7,27,24,6,3,14,21
CHICAGO BULLS,240,33,73,6,16,18,23,11,32,25,5,0,19,23
TORONTO RAPTORS,240,40,77,4,13,21,26,10,28,18,7,3,17,20
DALLAS MAVERICKS,240,46,90,4,15,17,18,12,26,17,13,8,10,15
PORTLAND TRAIL BLAZERS,240,38,81,6,13,16,19,8,35,27,8,9,26,24
DENVER NUGGETS,240,40,93,8,14,23,26,17,28,33,16,8,15,18
MEMPHIS GRIZZLIES,240,33,70,9,22,30,36,5,20,20,8,3,8,23
LOS ANGELES CLIPPERS,240,40,76,5,10,17,22,11,33,28,4,2,14,29
PHILADELPHIA 76ERS,240,35,76,6,14,24,30,7,22,17,10,2,10,25
MIAMI HEAT,240,39,71,4,13,26,38,11,31,23,4,6,14,22
