team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW JERSEY NETS,240,30,66,6,12,28,40,6,37,23,9,6,17,24
CHARLOTTE BOBCATS,240,34,82,8,15,15,29,14,27,21,11,8,16,31
MINNESOTA TIMBERWOLVES,240,37,84,5,17,18,22,17,21,20,5,6,12,25
CLEVELAND CAVALIERS,240,39,74,1,5,28,31,7,30,28,9,4,7,16
NEW ORLEANS HORNETS,265,31,88,4,14,25,29,15,27,23,6,2,10,22
LOS ANGELES CLIPPERS,265,39,79,6,18,16,25,12,34,27,6,7,12,18
BOSTON CELTICS,240,39,79,4,13,18,22,12,24,18,9,5,19,21
MIAMI HEAT,240,41,82,6,12,20,22,11,24,21,9,3,16,15
DALLAS MAVERICKS,240,41,85,8,17,33,36,13,34,25,10,4,13,20
NEW YORK KNICKS,240,35,93,7,21,17,20,19,25,24,4,2,15,27
WASHINGTON WIZARDS,240,37,80,8,20,11,17,14,24,21,9,6,20,16
SACRAMENTO KINGS,240,41,79,8,16,14,19,10,29,27,10,2,17,16
