team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PORTLAND TRAIL BLAZERS,240,32,73,2,14,22,29,8,31,20,5,2,9,20
BOSTON CELTICS,240,33,74,6,17,18,23,10,30,20,2,4,12,23
PHOENIX SUNS,265,41,102,9,21,18,26,11,36,24,3,7,14,29
CLEVELAND CAVALIERS,265,38,89,3,9,35,43,13,44,22,5,11,12,27
LOS ANGELES CLIPPERS,240,38,77,2,6,24,26,14,35,29,13,6,10,19
INDIANA PACERS,240,24,71,8,25,12,25,11,21,13,7,9,15,22
LOS ANGELES LAKERS,240,28,76,4,17,27,37,15,31,16,5,7,13,25
MEMPHIS GRIZZLIES,240,39,84,8,18,24,32,17,33,26,9,12,11,24
CHARLOTTE BOBCATS,240,40,90,5,12,15,21,15,29,25,7,3,10,27
MILWAUKEE BUCKS,240,31,71,5,14,35,43,10,32,19,5,6,12,22
NEW JERSEY NETS,265,34,75,5,13,27,36,6,30,27,6,3,16,41
PHILADELPHIA 76ERS,265,30,73,8,23,40,51,11,33,21,9,3,12,32
GOLDEN STATE WARRIORS,240,26,80,5,10,14,21,13,32,13,4,5,15,24
SAN ANTONIO SPURS,240,36,77,3,7,16,24,8,40,19,6,9,11,19
SACRAMENTO KINGS,240,26,78,1,13,25,39,16,23,14,4,4,14,26
SEATTLE SUPERSONICS,240,34,82,8,18,32,40,18,36,19,7,4,15,33
TORONTO RAPTORS,240,42,87,6,18,14,15,14,27,20,6,8,11,32
UTAH JAZZ,240,33,80,2,11,27,35,16,29,18,4,5,12,21
ORLANDO MAGIC,240,37,92,4,12,18,23,19,32,25,6,1,20,26
WASHINGTON WIZARDS,240,36,84,2,19,32,36,14,29,20,12,5,14,24
