team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SACRAMENTO KINGS,240,38,81,7,15,17,19,8,29,26,7,5,13,15
ATLANTA HAWKS,240,41,84,1,8,14,22,14,34,17,8,2,15,17
DETROIT PISTONS,240,38,77,8,13,26,35,16,24,24,11,5,11,23
BOSTON CELTICS,240,39,66,3,8,23,30,6,23,22,6,3,16,27
UTAH JAZZ,240,26,71,4,7,22,33,14,33,21,10,11,24,25
CHICAGO BULLS,240,29,71,4,15,22,30,10,28,23,12,11,19,29
HOUSTON ROCKETS,240,39,85,6,22,20,25,8,30,25,5,2,5,24
LOS ANGELES LAKERS,240,40,74,9,20,22,29,4,32,26,0,3,8,23
NEW ORLEANS HORNETS,240,26,82,5,17,19,23,18,27,16,6,4,7,21
MEMPHIS GRIZZLIES,240,31,69,8,22,14,15,9,33,18,3,11,12,23
PHILADELPHIA 76ERS,240,27,78,6,19,24,28,10,38,14,5,2,15,16
MINNESOTA TIMBERWOLVES,240,35,87,4,14,15,18,9,37,23,9,7,8,22
GOLDEN STATE WARRIORS,240,26,73,6,14,14,21,9,27,17,7,3,18,21
NEW JERSEY NETS,240,31,80,3,15,17,21,12,38,23,11,4,16,21
CHARLOTTE BOBCATS,240,40,90,0,11,11,19,15,21,18,5,5,11,25
ORLANDO MAGIC,240,38,75,7,14,28,35,12,34,21,6,3,15,19
MIAMI HEAT,240,39,76,7,16,18,21,11,29,28,4,5,16,20
PORTLAND TRAIL BLAZERS,240,37,78,1,5,17,25,7,24,23,10,3,12,21
MILWAUKEE BUCKS,265,39,87,2,6,27,39,8,38,22,8,4,7,31
TORONTO RAPTORS,265,32,87,9,28,32,43,17,34,19,3,3,13,32
