team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW JERSEY NETS,265,31,87,5,15,23,29,9,29,19,10,2,15,23
DETROIT PISTONS,265,35,76,3,15,27,31,9,45,23,10,16,20,23
DENVER NUGGETS,240,44,89,2,9,11,20,10,31,33,5,7,15,29
GOLDEN STATE WARRIORS,240,36,82,8,21,24,35,14,32,22,6,3,14,23
NEW ORLEANS HORNETS,240,31,77,1,15,19,28,11,20,16,8,6,6,17
INDIANA PACERS,240,34,67,5,10,27,33,11,34,20,4,3,17,22
LOS ANGELES CLIPPERS,240,26,72,3,6,21,27,12,28,15,9,6,16,17
MEMPHIS GRIZZLIES,240,38,84,7,22,13,15,11,30,25,7,6,13,23
ATLANTA HAWKS,240,41,80,2,9,18,23,9,22,22,7,5,11,32
MIAMI HEAT,240,40,78,4,16,32,38,12,26,25,5,3,10,20
NEW YORK KNICKS,240,46,86,6,17,21,31,13,22,29,11,1,11,32
ORLANDO MAGIC,240,33,67,5,13,40,50,12,26,12,7,3,16,25
PHILADELPHIA 76ERS,240,41,92,10,23,19,26,13,28,28,9,5,10,25
PORTLAND TRAIL BLAZERS,240,41,85,3,10,19,26,14,34,27,6,5,18,23
SEATTLE SUPERSONICS,240,31,71,8,21,28,34,10,23,16,12,4,13,19
UTAH JAZZ,240,34,73,5,13,15,16,12,28,22,4,3,25,28
CHARLOTTE BOBCATS,240,37,84,4,17,9,17,14,22,26,7,4,14,22
WASHINGTON WIZARDS,240,40,73,4,12,22,30,10,28,18,9,4,13,18
