team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SAN ANTONIO SPURS,240,38,80,7,15,21,31,12,37,20,13,4,13,18
CHARLOTTE BOBCATS,240,32,85,4,9,17,22,12,26,23,11,7,16,21
TORONTO RAPTORS,240,36,83,5,12,14,21,11,24,21,11,3,13,15
CLEVELAND CAVALIERS,240,45,78,3,11,11,17,9,36,31,7,6,18,21
CHICAGO BULLS,240,38,81,8,15,23,32,16,40,19,5,4,15,25
DALLAS MAVERICKS,240,32,86,12,30,24,30,9,31,19,10,1,10,25
UTAH JAZZ,240,29,80,3,12,26,36,15,30,20,5,11,12,27
DENVER NUGGETS,240,34,83,2,8,27,36,15,34,26,9,11,10,25
MINNESOTA TIMBERWOLVES,240,36,68,5,13,19,24,12,29,25,6,5,20,24
MEMPHIS GRIZZLIES,240,41,82,9,21,17,27,15,18,22,11,5,10,24
BOSTON CELTICS,240,38,78,4,15,17,26,9,23,26,8,5,16,28
MILWAUKEE BUCKS,240,41,76,10,19,29,36,12,28,25,10,3,17,22
GOLDEN STATE WARRIORS,240,40,84,6,16,27,34,9,35,24,7,7,15,17
ORLANDO MAGIC,240,47,102,2,6,13,15,16,36,20,5,6,12,26
PHOENIX SUNS,240,50,96,7,21,18,26,16,34,26,9,3,19,21
SACRAMENTO KINGS,240,47,93,12,20,17,24,12,30,34,12,2,15,21
NEW ORLEANS HORNETS,240,29,75,5,15,28,36,11,17,15,6,2,11,21
SEATTLE SUPERSONICS,240,41,70,8,20,18,27,11,30,19,6,7,13,28
